Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Amsterdam;KD72;AantalGeldigeStemmen;;5033
Amsterdam;KD72;Kiesgerechtigden;;4441
Amsterdam;KD72;Opkomst;;2534
Amsterdam;KD72;AantalStembriefjes;;2532
Amsterdam;KD72;AantalBlancoStemmen;;11
Amsterdam;KD72;;mr. C.van Heukelom;1332
Amsterdam;KD72;;J.van Swieten;1331
Amsterdam;KD72;;mr. J. Heemskerk Azn.;1218
Amsterdam;KD72;;J.J.A. Santhagens;1152
Deventer;KD14;Kiesgerechtigden;;2598
Deventer;KD14;AantalStembriefjes;;1699
Deventer;KD14;Opkomst;;1698
Deventer;KD14;AantalGeldigeStemmen;;1680
Deventer;KD14;AantalBlancoStemmen;;6
Deventer;KD14;;mr. A.van Delden;1247
Deventer;KD14;;mr. A.F. Vos de Wael;433
Dordrecht;KD42;Kiesgerechtigden;;2168
Dordrecht;KD42;AantalStembriefjes;;1671
Dordrecht;KD42;Opkomst;;1670
Dordrecht;KD42;AantalGeldigeStemmen;;1662
Dordrecht;KD42;AantalBlancoStemmen;;7
Dordrecht;KD42;;mr. P. Blussé van Oud-Alblas;881
Dordrecht;KD42;;mr. M. Bichon van Ysselmonde;781
Goes;KD53;Kiesgerechtigden;;1339
Goes;KD53;Opkomst;;1039
Goes;KD53;AantalStembriefjes;;1039
Goes;KD53;AantalGeldigeStemmen;;1028
Goes;KD53;AantalBlancoStemmen;;4
Goes;KD53;;mr. J.H.de Laat de Kanter;527
Goes;KD53;;mr. P.H. Saaymans Vader;501
Gorinchem;KD41;Kiesgerechtigden;;3029
Gorinchem;KD41;AantalStembriefjes;;1904
Gorinchem;KD41;Opkomst;;1903
Gorinchem;KD41;AantalGeldigeStemmen;;1870
Gorinchem;KD41;AantalBlancoStemmen;;25
Gorinchem;KD41;;dr. G. Simons;989
Gorinchem;KD41;;jhr.mr. J.W.van Loon;881
Haarlem;KD33;Kiesgerechtigden;;2395
Haarlem;KD33;AantalStembriefjes;;1530
Haarlem;KD33;Opkomst;;1529
Haarlem;KD33;AantalGeldigeStemmen;;1514
Haarlem;KD33;AantalBlancoStemmen;;15
Haarlem;KD33;;mr. A.S.van Nierop;866
Haarlem;KD33;;G.L.J.van der Hucht;644
Hoorn;KD35;Kiesgerechtigden;;3368
Hoorn;KD35;AantalStembriefjes;;1575
Hoorn;KD35;Opkomst;;1574
Hoorn;KD35;AantalGeldigeStemmen;;1559
Hoorn;KD35;AantalBlancoStemmen;;6
Hoorn;KD35;;mr. A.S.van Nierop;855
Hoorn;KD35;;mr. W.baron van Goltstein;704
Leeuwarden;KD7;Kiesgerechtigden;;3020
Leeuwarden;KD7;Opkomst;;1630
Leeuwarden;KD7;AantalStembriefjes;;1630
Leeuwarden;KD7;AantalGeldigeStemmen;;1619
Leeuwarden;KD7;AantalBlancoStemmen;;6
Leeuwarden;KD7;;mr. J. Dirks;935
Leeuwarden;KD7;;mr. B. Brouwer;684
Sneek;KD10;Kiesgerechtigden;;2919
Sneek;KD10;Opkomst;;2139
Sneek;KD10;AantalStembriefjes;;2139
Sneek;KD10;AantalGeldigeStemmen;;2128
Sneek;KD10;AantalBlancoStemmen;;11
Sneek;KD10;;mr. S. Wybenga;1301
Sneek;KD10;;jhr.mr. O.Q.J.J.van Swinderen;827
