Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Deventer;KD14;Kiesgerechtigden;;2598
Deventer;KD14;Opkomst;;1632
Deventer;KD14;AantalStembriefjes;;1632
Deventer;KD14;AantalGeldigeStemmen;;1595
Deventer;KD14;AantalBlancoStemmen;;9
Deventer;KD14;;mr. A.van Delden;757
Deventer;KD14;;mr. A.F. Vos de Wael;394
Deventer;KD14;;mr. J.P.P.baron van Zuylen van Nijevelt;194
Deventer;KD14;;mr. W.baron van Lynden;156
Deventer;KD14;;C.L.M. Smissaert van de Haere;51
Haarlem;KD33;Kiesgerechtigden;;2395
Haarlem;KD33;Opkomst;;1252
Haarlem;KD33;AantalStembriefjes;;1252
Haarlem;KD33;AantalGeldigeStemmen;;1241
Haarlem;KD33;AantalBlancoStemmen;;10
Haarlem;KD33;;mr. A.S.van Nierop;573
Haarlem;KD33;;G.L.J.van der Hucht;451
Haarlem;KD33;;mr. J.P.J.A.graaf van Zuylen van Nijevelt;162
Winschoten;KD4;Kiesgerechtigden;;1175
Winschoten;KD4;AantalStembriefjes;;535
Winschoten;KD4;Opkomst;;534
Winschoten;KD4;AantalGeldigeStemmen;;529
Winschoten;KD4;AantalBlancoStemmen;;1
Winschoten;KD4;;A. Winkler Prins;295
Winschoten;KD4;;mr. J.S.G. Koning;109
Winschoten;KD4;;jhr.mr. O.Q.J.J.van Swinderen;71
Winschoten;KD4;;T. Borgesius;26
Winschoten;KD4;;K. Venema;21
