Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Amsterdam IV;KD31;Kiesgerechtigden;;3634
Amsterdam IV;KD31;Opkomst;;1760
Amsterdam IV;KD31;AantalStembriefjes;;1760
Amsterdam IV;KD31;AantalGeldigeStemmen;;1734
Amsterdam IV;KD31;AantalBlancoStemmen;;26
Amsterdam IV;KD31;;J.T. Cremer;930
Amsterdam IV;KD31;;B.H. Heldt;525
Amsterdam IV;KD31;;mr. M. Mendels;279
Gouda;KD40;Kiesgerechtigden;;6072
Gouda;KD40;Opkomst;;4747
Gouda;KD40;AantalStembriefjes;;4747
Gouda;KD40;AantalGeldigeStemmen;;4715
Gouda;KD40;AantalBlancoStemmen;;32
Gouda;KD40;;A.W.F. Idenburg;2558
Gouda;KD40;;mr. H.P.de Kanter;2048
Gouda;KD40;;A.M. Hoogendijk Ez.;109
Veendam;KD78;Kiesgerechtigden;;5966
Veendam;KD78;Opkomst;;4124
Veendam;KD78;AantalStembriefjes;;4124
Veendam;KD78;AantalGeldigeStemmen;;4068
Veendam;KD78;AantalBlancoStemmen;;56
Veendam;KD78;;mr. P.J. Troelstra;1663
Veendam;KD78;;mr. E.A. Smidt;1357
Veendam;KD78;;F.H. Boels;1036
Veendam;KD78;;H.N. Schuitema;12
