Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Ede;KD90;Kiesgerechtigden;;2844
Ede;KD90;Opkomst;;2070
Ede;KD90;AantalStembriefjes;;2070
Ede;KD90;AantalGeldigeStemmen;;2051
Ede;KD90;AantalBlancoStemmen;;15
Ede;KD90;;C.M.E.van Löben Sels;1253
Ede;KD90;;mr. C.J.E.graaf van Bylandt;791
Gouda;KD40;Kiesgerechtigden;;2915
Gouda;KD40;AantalStembriefjes;;2573
Gouda;KD40;Opkomst;;2571
Gouda;KD40;AantalGeldigeStemmen;;2549
Gouda;KD40;AantalBlancoStemmen;;12
Gouda;KD40;;mr. O.J.E.baron van Wassenaer van Catwijck;1447
Gouda;KD40;;mr. J. Fortuijn Droogleever;1095
Maastricht;KD64;Kiesgerechtigden;;2194
Maastricht;KD64;AantalStembriefjes;;1688
Maastricht;KD64;Opkomst;;1687
Maastricht;KD64;AantalGeldigeStemmen;;1594
Maastricht;KD64;AantalBlancoStemmen;;87
Maastricht;KD64;;dr. J.H.J. Schreinemacher;889
Maastricht;KD64;;E.F.H.J.de Beaumont;658
Maastricht;KD64;;jhr.mr. L.F.H. Michiels van Kessenich;25
