Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Almelo;KD15;Kiesgerechtigden;;2201
Almelo;KD15;Opkomst;;1973
Almelo;KD15;AantalStembriefjes;;1973
Almelo;KD15;AantalGeldigeStemmen;;1962
Almelo;KD15;AantalBlancoStemmen;;10
Almelo;KD15;;H.A. Insinger;1064
Almelo;KD15;;mr. G.M.van der Linden;898
Amsterdam;KD72;Kiesgerechtigden;;4019
Amsterdam;KD72;Opkomst;;1320
Amsterdam;KD72;AantalStembriefjes;;1319
Amsterdam;KD72;AantalGeldigeStemmen;;1317
Amsterdam;KD72;AantalBlancoStemmen;;1
Amsterdam;KD72;;G. Fabius;672
Amsterdam;KD72;;mr.dr. J.A. Jolles;644
Delft;KD45;Kiesgerechtigden;;2874
Delft;KD45;AantalStembriefjes;;2201
Delft;KD45;Opkomst;;2199
Delft;KD45;AantalGeldigeStemmen;;2173
Delft;KD45;AantalBlancoStemmen;;21
Delft;KD45;;J.L. Nierstrasz;1187
Delft;KD45;;C.J. Vaillant;986
Dokkum;KD8;Kiesgerechtigden;;2542
Dokkum;KD8;Opkomst;;1762
Dokkum;KD8;AantalStembriefjes;;1762
Dokkum;KD8;AantalGeldigeStemmen;;1748
Dokkum;KD8;AantalBlancoStemmen;;13
Dokkum;KD8;;mr. B.P.baron van Harinxma thoe Slooten;1027
Dokkum;KD8;;mr. L.W.C. Keuchenius;721
Gorinchem;KD41;Kiesgerechtigden;;3230
Gorinchem;KD41;Opkomst;;2400
Gorinchem;KD41;AantalStembriefjes;;2400
Gorinchem;KD41;AantalGeldigeStemmen;;2374
Gorinchem;KD41;AantalBlancoStemmen;;25
Gorinchem;KD41;;mr.dr. J.J. Teding van Berkhout;1325
Gorinchem;KD41;;mr. J. Heemskerk Azn.;1049
Gouda;KD40;Kiesgerechtigden;;3448
Gouda;KD40;AantalStembriefjes;;1984
Gouda;KD40;Opkomst;;1983
Gouda;KD40;AantalGeldigeStemmen;;1953
Gouda;KD40;AantalBlancoStemmen;;31
Gouda;KD40;;jhr.mr. W.M.de Brauw;1035
Gouda;KD40;;dr. A. Kuyper;918
Leiden;KD38;Kiesgerechtigden;;2832
Leiden;KD38;AantalStembriefjes;;1463
Leiden;KD38;Opkomst;;1461
Leiden;KD38;AantalGeldigeStemmen;;1450
Leiden;KD38;AantalBlancoStemmen;;10
Leiden;KD38;;jhr.mr. J.L.C.van den Berch van Heemstede;978
Leiden;KD38;;mr. H.C. Verniers van der Loeff;469
Utrecht;KD25;Kiesgerechtigden;;2960
Utrecht;KD25;Opkomst;;1772
Utrecht;KD25;AantalStembriefjes;;1771
Utrecht;KD25;AantalGeldigeStemmen;;1762
Utrecht;KD25;AantalBlancoStemmen;;6
Utrecht;KD25;;mr. J. Messchert van Vollenhoven;932
Utrecht;KD25;;mr. E.du Marchie van Voorthuysen;830
