Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Arnhem;KD17;Kiesgerechtigden;;2737
Arnhem;KD17;Opkomst;;688
Arnhem;KD17;AantalStembriefjes;;688
Arnhem;KD17;AantalGeldigeStemmen;;660
Arnhem;KD17;AantalBlancoStemmen;;28
Arnhem;KD17;;W. Rooseboom;555
Arnhem;KD17;;jhr. H. Tindal;60
Arnhem;KD17;;A. Moll;29
Utrecht;KD25;Kiesgerechtigden;;4246
Utrecht;KD25;Opkomst;;1107
Utrecht;KD25;AantalStembriefjes;;1107
Utrecht;KD25;AantalGeldigeStemmen;;1060
Utrecht;KD25;AantalBlancoStemmen;;46
Utrecht;KD25;;A.L.W. Seijffardt;1045
