Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Almelo;KD15;Kiesgerechtigden;;2281
Almelo;KD15;Opkomst;;2110
Almelo;KD15;AantalStembriefjes;;2110
Almelo;KD15;AantalGeldigeStemmen;;2098
Almelo;KD15;AantalBlancoStemmen;;11
Almelo;KD15;;mr. J.R. Corver Hooft;1077
Almelo;KD15;;mr. S.J.baron van Pallandt;1021
Arnhem;KD17;Kiesgerechtigden;;3094
Arnhem;KD17;Opkomst;;2739
Arnhem;KD17;AantalStembriefjes;;2739
Arnhem;KD17;AantalGeldigeStemmen;;2728
Arnhem;KD17;AantalBlancoStemmen;;11
Arnhem;KD17;;mr. J.H. Geertsema;1426
Arnhem;KD17;;jhr.mr. A.F.de Savornin Lohman;1302
Delft;KD45;Kiesgerechtigden;;2995
Delft;KD45;Opkomst;;2532
Delft;KD45;AantalStembriefjes;;2532
Delft;KD45;AantalGeldigeStemmen;;2498
Delft;KD45;AantalBlancoStemmen;;27
Delft;KD45;;jhr. F.de Casembroot;1381
Delft;KD45;;C.J. Vaillant;1117
Utrecht;KD25;Kiesgerechtigden;;3110
Utrecht;KD25;AantalStembriefjes;;2248
Utrecht;KD25;Opkomst;;2247
Utrecht;KD25;AantalGeldigeStemmen;;2237
Utrecht;KD25;AantalBlancoStemmen;;8
Utrecht;KD25;;J.N. Bastert;1136
Utrecht;KD25;;mr. N.P.J. Kien;1101
