Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Eindhoven;KD60;Kiesgerechtigden;;3030
Eindhoven;KD60;Opkomst;;1632
Eindhoven;KD60;AantalStembriefjes;;1631
Eindhoven;KD60;AantalGeldigeStemmen;;1623
Eindhoven;KD60;AantalBlancoStemmen;;7
Eindhoven;KD60;;J.T.M. Smits van Oyen;1209
Eindhoven;KD60;;mr. D.H.van den Acker;191
Eindhoven;KD60;;dr. H.J.A.M. Schaepman;178
Eindhoven;KD60;;L. Houben;31
Schoterland;KD81;Kiesgerechtigden;;2861
Schoterland;KD81;Opkomst;;1800
Schoterland;KD81;AantalStembriefjes;;1800
Schoterland;KD81;AantalGeldigeStemmen;;1788
Schoterland;KD81;AantalBlancoStemmen;;11
Schoterland;KD81;;H. Pyttersen;800
Schoterland;KD81;;P.van Vliet;771
Schoterland;KD81;;F. Domela Nieuwenhuis;215
Veendam;KD78;Kiesgerechtigden;;2919
Veendam;KD78;Opkomst;;1854
Veendam;KD78;AantalStembriefjes;;1854
Veendam;KD78;AantalGeldigeStemmen;;1843
Veendam;KD78;AantalBlancoStemmen;;9
Veendam;KD78;;dr. A.L. Poelman;983
Veendam;KD78;;mr. D.de Ruiter Zijlker;438
Veendam;KD78;;A. Brummelkamp jr.;317
Veendam;KD78;;mr. M.W.F. Treub;59
