Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Leiden;KD38;AantalGeldigeStemmen;;8490
Leiden;KD38;Kiesgerechtigden;;3244
Leiden;KD38;Opkomst;;2469
Leiden;KD38;AantalStembriefjes;;2469
Leiden;KD38;AantalBlancoStemmen;;42
Leiden;KD38;;O.baron van Wassenaer van Catwijck;1415
Leiden;KD38;;J.H. Donner;1393
Leiden;KD38;;mr. J.P. Smeele;1042
Leiden;KD38;;J.P.T.van Nunen;1020
Winschoten;KD4;Kiesgerechtigden;;2923
Winschoten;KD4;AantalGeldigeStemmen;;1110
Winschoten;KD4;;mr. H.L. Drucker;606
Winschoten;KD4;;A. Winkler Prins;504
