Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Alkmaar;KD34;Kiesgerechtigden;;3734
Alkmaar;KD34;Opkomst;;2087
Alkmaar;KD34;AantalStembriefjes;;2087
Alkmaar;KD34;AantalGeldigeStemmen;;1722
Alkmaar;KD34;AantalBlancoStemmen;;48
Alkmaar;KD34;;mr. W.van der Kaay;1639
Alkmaar;KD34;;A. Brummelkamp sr.;69
Appingedam;KD3;Kiesgerechtigden;;3178
Appingedam;KD3;Opkomst;;1274
Appingedam;KD3;AantalStembriefjes;;1274
Appingedam;KD3;AantalGeldigeStemmen;;1257
Appingedam;KD3;AantalBlancoStemmen;;12
Appingedam;KD3;;mr. D.de Ruiter Zijlker;809
Appingedam;KD3;;A. Brummelkamp sr.;272
Appingedam;KD3;;mr. J. Freseman Viëtor;59
Appingedam;KD3;;mr. A.J. Thomassen à Thuessink van der Hoop;40
Appingedam;KD3;;mr. M.van der Tuuk;34
Eindhoven;KD60;Kiesgerechtigden;;2624
Eindhoven;KD60;Opkomst;;1204
Eindhoven;KD60;AantalStembriefjes;;1204
Eindhoven;KD60;AantalGeldigeStemmen;;1193
Eindhoven;KD60;AantalBlancoStemmen;;11
Eindhoven;KD60;;mr. P.J.A. Smitz;1085
Eindhoven;KD60;;mr. F.W.van den Dungen;49
Eindhoven;KD60;;mr. A.J.H.van Baar;35
Gouda;KD40;Kiesgerechtigden;;3717
Gouda;KD40;AantalStembriefjes;;2263
Gouda;KD40;Opkomst;;2261
Gouda;KD40;AantalGeldigeStemmen;;2238
Gouda;KD40;AantalBlancoStemmen;;12
Gouda;KD40;;mr. J.G. Patijn;1132
Gouda;KD40;;dr. T.C.L. Wijnmalen;1092
