Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Deventer;KD14;Kiesgerechtigden;;2814
Deventer;KD14;AantalStembriefjes;;1033
Deventer;KD14;Opkomst;;1032
Deventer;KD14;AantalGeldigeStemmen;;1011
Deventer;KD14;AantalBlancoStemmen;;14
Deventer;KD14;;mr. P. Blussé van Oud-Alblas;688
Deventer;KD14;;A.baron van Schimmelpenninck van der Oye;199
Deventer;KD14;;mr. W.A.A.J.baron van Schimmelpenninck van der Oye;113
Rotterdam;KD73;Kiesgerechtigden;;2586
Rotterdam;KD73;Opkomst;;1243
Rotterdam;KD73;AantalStembriefjes;;1243
Rotterdam;KD73;AantalGeldigeStemmen;;1229
Rotterdam;KD73;AantalBlancoStemmen;;13
Rotterdam;KD73;;O.van Rees;834
Rotterdam;KD73;;jhr.mr. J.L.C.van den Berch van Heemstede;383
