Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Alkmaar;KD34;Kiesgerechtigden;;7236
Alkmaar;KD34;Opkomst;;6668
Alkmaar;KD34;AantalStembriefjes;;6668
Alkmaar;KD34;AantalGeldigeStemmen;;6625
Alkmaar;KD34;AantalBlancoStemmen;;44
Alkmaar;KD34;;mr. E. Fokker;3795
Alkmaar;KD34;;jhr.mr. T.A.J.van Asch van Wijck;2830
Amersfoort;KD26;Kiesgerechtigden;;6994
Amersfoort;KD26;Opkomst;;4859
Amersfoort;KD26;AantalStembriefjes;;4859
Amersfoort;KD26;AantalGeldigeStemmen;;4821
Amersfoort;KD26;AantalBlancoStemmen;;38
Amersfoort;KD26;;mr. F.D.graaf van Schimmelpenninck;3333
Amersfoort;KD26;;jhr.mr. T.A.J.van Asch van Wijck;1488
Amsterdam I;KD28;Kiesgerechtigden;;4760
Amsterdam I;KD28;Opkomst;;3391
Amsterdam I;KD28;AantalStembriefjes;;3391
Amsterdam I;KD28;AantalGeldigeStemmen;;3339
Amsterdam I;KD28;AantalBlancoStemmen;;52
Amsterdam I;KD28;;mr. M.J. Pijnappel;2228
Amsterdam I;KD28;;dr. H.J.A.M. Schaepman;1111
Amsterdam II;KD29;Kiesgerechtigden;;2250
Amsterdam II;KD29;Opkomst;;1634
Amsterdam II;KD29;AantalStembriefjes;;1634
Amsterdam II;KD29;AantalGeldigeStemmen;;1619
Amsterdam II;KD29;AantalBlancoStemmen;;15
Amsterdam II;KD29;;H.F. Groen van Waarder;854
Amsterdam II;KD29;;F.G. Mellink Pzn.;765
Amsterdam III;KD30;Kiesgerechtigden;;4566
Amsterdam III;KD30;Opkomst;;3147
Amsterdam III;KD30;AantalStembriefjes;;3147
Amsterdam III;KD30;AantalGeldigeStemmen;;3119
Amsterdam III;KD30;AantalBlancoStemmen;;28
Amsterdam III;KD30;;mr. A.F.K. Hartogh;2238
Amsterdam III;KD30;;W. Hovy;881
Amsterdam IV;KD31;Kiesgerechtigden;;3268
Amsterdam IV;KD31;Opkomst;;2387
Amsterdam IV;KD31;AantalStembriefjes;;2387
Amsterdam IV;KD31;AantalGeldigeStemmen;;2361
Amsterdam IV;KD31;AantalBlancoStemmen;;26
Amsterdam IV;KD31;;mr. J.G. Gleichman;1234
Amsterdam IV;KD31;;mr. Z.van den Bergh;1127
Amsterdam IX;KD115;Kiesgerechtigden;;5215
Amsterdam IX;KD115;Opkomst;;3671
Amsterdam IX;KD115;AantalStembriefjes;;3671
Amsterdam IX;KD115;AantalGeldigeStemmen;;3665
Amsterdam IX;KD115;AantalBlancoStemmen;;6
Amsterdam IX;KD115;;mr. J.P.R. Tak van Poortvliet;2309
Amsterdam IX;KD115;;dr. A. Kuyper;1356
Amsterdam V;KD32;Kiesgerechtigden;;5945
Amsterdam V;KD32;Opkomst;;3911
Amsterdam V;KD32;AantalStembriefjes;;3911
Amsterdam V;KD32;AantalGeldigeStemmen;;3870
Amsterdam V;KD32;AantalBlancoStemmen;;41
Amsterdam V;KD32;;T.M. Ketelaar;2081
Amsterdam V;KD32;;mr. N.G. Pierson;1789
Amsterdam VI;KD112;Kiesgerechtigden;;5040
Amsterdam VI;KD112;Opkomst;;3439
Amsterdam VI;KD112;AantalStembriefjes;;3439
Amsterdam VI;KD112;AantalGeldigeStemmen;;3435
Amsterdam VI;KD112;AantalBlancoStemmen;;4
Amsterdam VI;KD112;;J.T. Cremer;2340
Amsterdam VI;KD112;;dr. P.J.H. Cuypers;1095
Amsterdam VII;KD113;Kiesgerechtigden;;3667
Amsterdam VII;KD113;Opkomst;;2654
Amsterdam VII;KD113;AantalStembriefjes;;2654
Amsterdam VII;KD113;AantalGeldigeStemmen;;2626
Amsterdam VII;KD113;AantalBlancoStemmen;;28
Amsterdam VII;KD113;;B.H. Heldt;1561
Amsterdam VII;KD113;;W.C.J. Passtoors;1065
Amsterdam VIII;KD114;Kiesgerechtigden;;2462
Amsterdam VIII;KD114;Opkomst;;1817
Amsterdam VIII;KD114;AantalStembriefjes;;1817
Amsterdam VIII;KD114;AantalGeldigeStemmen;;1785
Amsterdam VIII;KD114;AantalBlancoStemmen;;32
Amsterdam VIII;KD114;;P. Nolting;927
Amsterdam VIII;KD114;;mr. Th. Heemskerk;858
Appingedam;KD3;Kiesgerechtigden;;6976
Appingedam;KD3;Opkomst;;6005
Appingedam;KD3;AantalStembriefjes;;6005
Appingedam;KD3;AantalGeldigeStemmen;;5958
Appingedam;KD3;AantalBlancoStemmen;;47
Appingedam;KD3;;J. Schepel;3720
Appingedam;KD3;;J. Bouwes;2238
Beverwijk;KD95;Kiesgerechtigden;;6719
Beverwijk;KD95;Opkomst;;6415
Beverwijk;KD95;AantalStembriefjes;;6415
Beverwijk;KD95;AantalGeldigeStemmen;;6383
Beverwijk;KD95;AantalBlancoStemmen;;32
Beverwijk;KD95;;mr. J.P.R. Tak van Poortvliet;3246
Beverwijk;KD95;;mr. T.L.M.H. Borret;3137
Bodegraven;KD97;Kiesgerechtigden;;6787
Bodegraven;KD97;Opkomst;;6083
Bodegraven;KD97;AantalStembriefjes;;6083
Bodegraven;KD97;AantalGeldigeStemmen;;6022
Bodegraven;KD97;AantalBlancoStemmen;;61
