Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Almelo;KD15;Kiesgerechtigden;;2408
Almelo;KD15;AantalStembriefjes;;2150
Almelo;KD15;Opkomst;;2149
Almelo;KD15;AantalGeldigeStemmen;;2135
Almelo;KD15;AantalBlancoStemmen;;11
Almelo;KD15;;H.A. Insinger;1193
Almelo;KD15;;mr. A.van Laer;942
Zevenbergen;KD62;Kiesgerechtigden;;2134
Zevenbergen;KD62;Opkomst;;1767
Zevenbergen;KD62;AantalStembriefjes;;1767
Zevenbergen;KD62;AantalGeldigeStemmen;;1732
Zevenbergen;KD62;AantalBlancoStemmen;;31
Zevenbergen;KD62;;mr. R.van der Werk;893
Zevenbergen;KD62;;mr. L.van Rijckevorsel;838
