Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Katwijk;KD96;Kiesgerechtigden;;4160
Katwijk;KD96;Opkomst;;3394
Katwijk;KD96;AantalStembriefjes;;3394
Katwijk;KD96;AantalGeldigeStemmen;;3388
Katwijk;KD96;AantalBlancoStemmen;;4
Katwijk;KD96;;mr. F.J.M.A. Reekers;1518
Katwijk;KD96;;J.H. Donner;1160
Katwijk;KD96;;mr. O.J.E.baron van Wassenaer van Catwijck;448
Katwijk;KD96;;mr. A.D.van Assendelft de Coningh;251
Rotterdam;KD73;Kiesgerechtigden;;8353
Rotterdam;KD73;Opkomst;;4042
Rotterdam;KD73;AantalStembriefjes;;4041
Rotterdam;KD73;AantalGeldigeStemmen;;4027
Rotterdam;KD73;AantalBlancoStemmen;;7
Rotterdam;KD73;;mr. J.van Gennep;2864
Rotterdam;KD73;;P.R. Mees;821
Rotterdam;KD73;;J.M. Voorhoeve;322
's-Gravenhage;KD74;Kiesgerechtigden;;8494
's-Gravenhage;KD74;Opkomst;;5077
's-Gravenhage;KD74;AantalStembriefjes;;5077
's-Gravenhage;KD74;AantalGeldigeStemmen;;5042
's-Gravenhage;KD74;AantalBlancoStemmen;;30
's-Gravenhage;KD74;;mr. J.G.S. Bevers;2094
's-Gravenhage;KD74;;J.M. Pijnacker Hordijk;1697
's-Gravenhage;KD74;;mr. A.J.W.van Roijen;1242
Sneek;KD10;Kiesgerechtigden;;3657
Sneek;KD10;Opkomst;;2454
Sneek;KD10;AantalStembriefjes;;2454
Sneek;KD10;AantalGeldigeStemmen;;2444
Sneek;KD10;AantalBlancoStemmen;;8
Sneek;KD10;;mr. J.A.van Gilse;857
Sneek;KD10;;mr. Th. Heemskerk;717
Sneek;KD10;;mr. U.H. Huber;626
Sneek;KD10;;J.F.H. Bekhuis;240
