Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Breda;KD61;Kiesgerechtigden;;3638
Breda;KD61;Opkomst;;2065
Breda;KD61;AantalStembriefjes;;2065
Breda;KD61;AantalGeldigeStemmen;;2042
Breda;KD61;AantalBlancoStemmen;;16
Breda;KD61;;N.R.H. Guljé;638
Breda;KD61;;mr. P.J.J. Hollingérus Pijpers;426
Breda;KD61;;mr. D. Mulder;359
Breda;KD61;;mr. J.H.van Mierlo;348
Breda;KD61;;mr. P.J. Verduijn;227
Deventer;KD14;Kiesgerechtigden;;1467
Deventer;KD14;Opkomst;;577
Deventer;KD14;AantalStembriefjes;;577
Deventer;KD14;AantalGeldigeStemmen;;569
Deventer;KD14;AantalBlancoStemmen;;6
Deventer;KD14;;mr. G. Dumbar;537
Rotterdam;KD73;Kiesgerechtigden;;3030
Rotterdam;KD73;Opkomst;;1767
Rotterdam;KD73;AantalStembriefjes;;1767
Rotterdam;KD73;AantalGeldigeStemmen;;1742
Rotterdam;KD73;AantalBlancoStemmen;;19
Rotterdam;KD73;;F.W.C. Blom;1088
Rotterdam;KD73;;mr. J.P.P.baron van Zuylen van Nijevelt;416
Rotterdam;KD73;;mr. E.J.A.graaf van Bylandt;148
