"","name","name_match","id_match","1860-1864","1864-1866","1866-1868","1868-1871","1871-1875","1875-1879","1879-1883","1883-1884","1884-1886","1886-1887","1887-1888","1888-1891","1891-1894","1894-1897","1897-1901","1901-1905","1905-1909","1909-1913","1913-1917","1917-1918","1918-1922"
"42","Pieter Blussé van Oud-Alblas","Pieter Blussé van Oud-Alblas","00138",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"43","Hubert Alexander Maurits van Asch van Wijck ","Hubert Alexander Maurits Asch van Wijck","00037",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","Jeronimo de Bosch Kemper","Jeronimo Bosch Kemper","00178",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","Jacob Nicolaas Bastert","Jacob Nicolaas Bastert","00066",0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
"46","François de Casembroot","François Casembroot","00255",0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","Jan Reijnaud Corver Hooft","Jan Reijnaud Corver Hooft","00273",0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"48","Herman Agatho des Amorie van der Hoeven","Herman Agatho Amorie van der Hoeven","00022",0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"49","Pierre Louis François Blussé","Pierre Louis François Blussé","00137",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"50","Hugo van Gijn","Anton Gijn","00499",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
"51","Carel Jan Emilius van Bylandt","Carel Jan Emilius Bylandt","00243",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"52","Jan Frederik Willem Conrad","Jan Frederik Willem Conrad","00264",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
"53","Willem Theodoor Cornelis van Doorn","Willem Theodoor Cornelis Doorn","00337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
"54","Carel Marius Storm van 's-Gravesande","Carel Marius Storm van 's-Gravesande","01316",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","Jan Willem van Loon","Jan Willem Loon","00841",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","Pieter Johannes Gesinus van Diggelen","Pieter Johannes Gesinus Diggelen","00314",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"57","Rutger Jan Schimmelpenninck van Nijenhuis","Rutger Jan Schimmelpenninck van Nijenhuis","01202",1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"58","Boelo Tijdens","Berend Wichers","01539",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"59","Frederik van Bylandt","Hendrik Jan Smidt","01272",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"60","Jan Duijs","Jan Zijp","01613",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"61","Eeltjo van Beresteyn","Eltjo Aldegondus Beresteyn","00090",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"62","Isaäc Theodorus ter Bruggen Hugenholtz","Isaäc Theodorus Ter Bruggen Hugenholtz","00222",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","Pieter Lodewijk de Lom de Berg","Pieter Lodewijk Lom de Berg","00839",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","Jan Willem Gefken","Jan Willem Gefken","00440",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","Herman Cornelis Verniers van der Loeff","Herman Cornelis Verniers van der Loeff","01424",0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"66","Rutger Alexander Wilhelm Sluiter","Rutger Alexander Wilhelm Sluiter","01266",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"67","Ferdinand Domela Nieuwenhuis","Ferdinand Domela Nieuwenhuis","00326",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"68","Adriaan Louis Poelman","Adriaan Louis Poelman","01042",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"69","Theodore Matthieu Ketelaar","Theodore Matthieu Ketelaar","00689",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"70","Willem Helsdingen","Willem Lynden","00855",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"71","Frederik Willem Nicolaas Hugenholtz","Frederik Willem Nicolaas Hugenholtz","00615",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"72","Cornelis Johan Adriaan Bichon van IJsselmonde","Cornelis Johan Adriaan Bichon van IJsselmonde","00111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"73","Hendrik Coenraad Dresselhuijs","Hendrik Coenraad Dresselhuys","00341",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"74","Willem Hendrik Dullert","Willem Hendrik Dullert","00349",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","Michel Henry Godefroi","Michel Henry Godefroi","00464",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","Charles Jean François Mirandolle","Charles Jean François Mirandolle","00930",0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","Pierre Guillaume Jean van der Schrieck","Pierre Guillaume Jean Schrieck","01229",0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"78","Willem Karel van Dedem","Willem Karel Dedem","00295",0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"79","Abraham van Laer","Abraham Laer","00776",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","Leonard Frans Hubert Carl Ruland","Leonard Frans Hubert Carl Ruland","01143",0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
"81","Meinard Tydeman ","Meinard Tydeman","01384",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
"82","Henri van Kol","Henri Hubert Kol","00723",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"83","Jan Schokking","Jan Schokking","01215",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"84","Geert van der Zwaag","Geert Lourens Zwaag","01604",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"85","Jean Baptiste Louis Corneille Charles de Wijkerslooth de Weerdesteyn","Jean Baptiste Louis Corneille Charles Wijkerslooth de Weerdesteyn","01580",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
"86","Maximilien Joseph Caspar Marie Kolkman","Maximilien Joseph Caspar Marie Kolkman","00727",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"87","Willem Hendrik de Buisonjé","Willem Hendrik Buisonjé","00236",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"88","Daniël van Eck","Daniël Eck","00368",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"89","François Willem Cornelis Blom","François Willem Cornelis Blom","00130",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","Sybrand Hingst","Sybrand Hingst","00583",0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"91","Jan Heemskerk Azn.","Jan Heemskerk","00538",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","Æneas Mackay ","Æneas Mackay","00861",0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
"93","Johannes Hendricus Donner","Johannes Hendricus Donner","00334",0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0
"94","Ulrich Herman Huber ","Ulrich Herman Huber","00612",0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"95","Jan van den Biesen","Jan Jacob Willem Biesen","00118",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"96","Carel Marie Brantsen","Carel Marie Brantsen","00197",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"97","Jacobus Petrus Havelaar","Jacob Petrus Havelaar","00530",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"98","Johannes Theodoor de Visser","Johannes Theodoor Visser","01446",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
"99","Gerrit de Jongh","Gerrit Simons","01249",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"100","Pieter Otto","Pieter Otto","01009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"101","Henricus Gerardus Maria Hermans","Henricus Gerardus Maria Hermans","00563",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"102","Willem van Ravesteyn","Willem Ravesteyn","01086",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"103","Willem Theodore Gevers Deynoot ","Willem Theodore Gevers Deynoot","00455",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104","Ernest Louis van Hardenbroek van Lockhorst ","Ernest Louis Hardenbroek van Lockhorst","00519",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105","Jan Pieter Bredius ","Jan Pieter Bredius","00202",0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106","Harry Barge","Zadok Bergh","00099",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107","Victor Nyst","Pieter Rink","01113",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108","Johan Pieter Idus Buteux","Johan Pieter Idus Buteux","00242",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"109","Willem Mutsaers","Willem Meijier","00917",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
"110","Gustave Louis Marie Hubert Ruijs de Beerenbrouck","Gustave Louis Marie Hubert Ruijs van Beerenbroek","01154",0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
"111","Jan Loeff","Jan Molen","00934",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1
"112","Willem Hendrik Bogaardt","Willem Hendrik Bogaardt","00150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"113","Jan Gerrit Scheurer","Jan Gerrit Scheurer","01194",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"114","Jan van den Tempel","Jan Tempel","01347",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"115","Arie de Zeeuw","Arie Smit","01273",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"116","Frederik Bos","Frederik Bos","00176",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"117","Jan Heemskerk Bzn.","Jan Heemskerk","00538",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118","Jacob Dirks","Jacob Dirks","00315",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119","Marinus Bichon van IJsselmonde","Marinus Bichon van IJsselmonde","00112",0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"120","Theo van Lynden van Sandenburg","Constantijn Theodoor Lynden van Sandenburg","00857",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121","Johannes Tak van Poortvliet","Johannes Dirk Poel","01041",0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0
