Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Almelo;KD15;Kiesgerechtigden;;2494
Almelo;KD15;Opkomst;;2295
Almelo;KD15;AantalStembriefjes;;2295
Almelo;KD15;AantalGeldigeStemmen;;2282
Almelo;KD15;AantalBlancoStemmen;;12
Almelo;KD15;;J.van Alphen;1202
Almelo;KD15;;mr. A.van Laer;1077
Gorinchem;KD41;Kiesgerechtigden;;3900
Gorinchem;KD41;Opkomst;;2951
Gorinchem;KD41;AantalStembriefjes;;2951
Gorinchem;KD41;AantalGeldigeStemmen;;2928
Gorinchem;KD41;AantalBlancoStemmen;;12
Gorinchem;KD41;;mr. B.J.L.baron van Geer van Jutphaas;1930
Gorinchem;KD41;;C.A. Jeekel;983
