"name","name_match","id_match","X1860.1864","X1864.1866","X1866.1868","X1868.1871","X1871.1875","X1875.1879","X1879.1883","X1883.1884","X1884.1886","X1886.1887","X1887.1888","X1888.1891","X1891.1894","X1894.1897","X1897.1901","X1901.1905","X1905.1909","X1909.1913","X1913.1917","X1917.1918","X1918.1922"
"Pieter Blussé van Oud-Alblas","Pieter Blussé van Oud-Alblas","00138",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Hubert Alexander Maurits van Asch van Wijck ","Hubert Alexander Maurits Asch van Wijck","00037",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jeronimo de Bosch Kemper","Jeronimo Bosch Kemper","00178",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jacob Nicolaas Bastert","Jacob Nicolaas Bastert","00066",0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
"François de Casembroot","François Casembroot","00255",0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jan Reijnaud Corver Hooft","Jan Reijnaud Corver Hooft","00273",0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Herman Agatho des Amorie van der Hoeven","Herman Agatho Amorie van der Hoeven","00022",0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Pierre Louis François Blussé","Pierre Louis François Blussé","00137",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Hugo van Gijn","Simon Marius Hugo Gijn","00500",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
"Carel Jan Emilius van Bylandt","Carel Jan Emilius Bylandt","00243",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Jan Frederik Willem Conrad","Jan Frederik Willem Conrad","00264",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
"Willem Theodoor Cornelis van Doorn","Willem Theodoor Cornelis Doorn","00337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
"Carel Marius Storm van 's-Gravesande","Carel Marius Storm van 's-Gravesande","01316",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jan Willem van Loon","Jan Willem Loon","00841",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pieter Johannes Gesinus van Diggelen","Pieter Johannes Gesinus Diggelen","00314",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Rutger Jan Schimmelpenninck van Nijenhuis","Rutger Jan Schimmelpenninck van Nijenhuis","01202",1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"Boelo Tijdens","Boelo Luitjen Tijdens","01385",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"Frederik van Bylandt","Willem Karel Frederik Pieter Bylandt","00245",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"Jan Duijs","Jan Eliza Wilhelm Duijs","00357",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"Eeltjo van Beresteyn","Eltjo Aldegondus Beresteyn","00090",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"Isaäc Theodorus ter Bruggen Hugenholtz","Isaäc Theodorus Ter Bruggen Hugenholtz","00222",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pieter Lodewijk de Lom de Berg","Pieter Lodewijk Lom de Berg","00839",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jan Willem Gefken","Jan Willem Gefken","00440",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Herman Cornelis Verniers van der Loeff","Herman Cornelis Verniers van der Loeff","01424",0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"Rutger Alexander Wilhelm Sluiter","Rutger Alexander Wilhelm Sluiter","01266",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Ferdinand Domela Nieuwenhuis","Ferdinand Domela Nieuwenhuis","00326",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Adriaan Louis Poelman","Adriaan Louis Poelman","01042",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Theodore Matthieu Ketelaar","Theodore Matthieu Ketelaar","00689",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"Willem Helsdingen","Willem Pieter Gerardus Helsdingen","00557",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"Frederik Willem Nicolaas Hugenholtz","Frederik Willem Nicolaas Hugenholtz","00615",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"Cornelis Johan Adriaan Bichon van IJsselmonde","Cornelis Johan Adriaan Bichon van IJsselmonde","00111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"Hendrik Coenraad Dresselhuijs","Hendrik Coenraad Dresselhuys","00341",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"Willem Hendrik Dullert","Willem Hendrik Dullert","00349",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
