Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Gouda;KD40;Kiesgerechtigden;;3200
Gouda;KD40;AantalStembriefjes;;2644
Gouda;KD40;Opkomst;;2643
Gouda;KD40;AantalGeldigeStemmen;;2634
Gouda;KD40;AantalBlancoStemmen;;9
Gouda;KD40;;jhr.mr. W.M.de Brauw;1597
Gouda;KD40;;dr. J. Bosscha jr.;1037
Haarlemmermeer;KD76;Kiesgerechtigden;;1282
Haarlemmermeer;KD76;Opkomst;;1111
Haarlemmermeer;KD76;AantalStembriefjes;;1111
Haarlemmermeer;KD76;AantalGeldigeStemmen;;1102
Haarlemmermeer;KD76;AantalBlancoStemmen;;6
Haarlemmermeer;KD76;;jhr.mr. J.W.H. Rutgers van Rozenburg;615
Haarlemmermeer;KD76;;mr. J.J.W.van den Biesen;487
Leiden;KD38;Kiesgerechtigden;;2704
Leiden;KD38;Opkomst;;2084
Leiden;KD38;AantalStembriefjes;;2084
Leiden;KD38;AantalGeldigeStemmen;;2065
Leiden;KD38;AantalBlancoStemmen;;10
Leiden;KD38;;P.H.baron van Taets van Amerongen;1230
Leiden;KD38;;mr. H.A. Neeb;835
Roermond;KD65;Kiesgerechtigden;;1893
Roermond;KD65;AantalStembriefjes;;1780
Roermond;KD65;Opkomst;;1779
Roermond;KD65;AantalGeldigeStemmen;;1766
Roermond;KD65;AantalBlancoStemmen;;11
Roermond;KD65;;W.H. Pijls;1000
Roermond;KD65;;J.H. Arnoldts;766
Zuidhorn;KD69;Kiesgerechtigden;;1417
Zuidhorn;KD69;Opkomst;;672
Zuidhorn;KD69;AantalStembriefjes;;672
Zuidhorn;KD69;AantalGeldigeStemmen;;667
Zuidhorn;KD69;AantalBlancoStemmen;;3
Zuidhorn;KD69;;mr. N. Olivier;363
Zuidhorn;KD69;;H.W. Wierda;304
