Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Alkmaar;KD34;Kiesgerechtigden;;4783
Alkmaar;KD34;Opkomst;;4232
Alkmaar;KD34;AantalStembriefjes;;4232
Alkmaar;KD34;AantalGeldigeStemmen;;4199
Alkmaar;KD34;AantalBlancoStemmen;;25
Alkmaar;KD34;;mr. W.van der Kaay;2479
Alkmaar;KD34;;A. Goede;1720
Amersfoort;KD26;Kiesgerechtigden;;3059
Amersfoort;KD26;Opkomst;;2246
Amersfoort;KD26;AantalStembriefjes;;2246
Amersfoort;KD26;AantalGeldigeStemmen;;2227
Amersfoort;KD26;AantalBlancoStemmen;;14
Amersfoort;KD26;;J.E.N.baron van Schimmelpenninck van der Oye;1325
Amersfoort;KD26;;mr. W.H.J. Rooijaards;902
Bergum;KD82;Kiesgerechtigden;;3076
Bergum;KD82;Opkomst;;2888
Bergum;KD82;AantalStembriefjes;;2888
Bergum;KD82;AantalGeldigeStemmen;;2878
Bergum;KD82;AantalBlancoStemmen;;6
Bergum;KD82;;mr. H.P.de Kanter;1515
Bergum;KD82;;L.W.de Vries;1363
Beverwijk;KD95;Kiesgerechtigden;;3640
Beverwijk;KD95;Opkomst;;3275
Beverwijk;KD95;AantalStembriefjes;;3275
Beverwijk;KD95;AantalGeldigeStemmen;;3257
Beverwijk;KD95;AantalBlancoStemmen;;10
Beverwijk;KD95;;jhr.mr. J.W.G. Boreel van Hogelanden;1733
Beverwijk;KD95;;W. Bos;1524
Bodegraven;KD97;Kiesgerechtigden;;3972
Bodegraven;KD97;AantalStembriefjes;;3588
Bodegraven;KD97;Opkomst;;3587
Bodegraven;KD97;AantalGeldigeStemmen;;3571
Bodegraven;KD97;AantalBlancoStemmen;;15
Bodegraven;KD97;;S.van Velzen jr.;1790
Bodegraven;KD97;;J.N. Bastert;1781
Breukelen;KD92;Kiesgerechtigden;;3851
Breukelen;KD92;Opkomst;;3491
Breukelen;KD92;AantalStembriefjes;;3491
Breukelen;KD92;AantalGeldigeStemmen;;3424
Breukelen;KD92;AantalBlancoStemmen;;64
Breukelen;KD92;;mr. W.J. Royaards van den Ham;1755
Breukelen;KD92;;S.M.van Wijck;1669
Delft;KD45;Kiesgerechtigden;;3205
Delft;KD45;Opkomst;;2921
Delft;KD45;AantalStembriefjes;;2921
Delft;KD45;AantalGeldigeStemmen;;2888
Delft;KD45;AantalBlancoStemmen;;33
Delft;KD45;;mr. H.A.van de Velde;1459
Delft;KD45;;mr. J.P.R. Tak van Poortvliet;1429
Doetinchem;KD21;Kiesgerechtigden;;3825
Doetinchem;KD21;Opkomst;;3616
Doetinchem;KD21;AantalStembriefjes;;3616
Doetinchem;KD21;AantalGeldigeStemmen;;3580
Doetinchem;KD21;AantalBlancoStemmen;;29
Doetinchem;KD21;;mr. J.G.S. Bevers;1845
Doetinchem;KD21;;mr. H.F. Hesselink van Suchtelen;1734
Elst;KD22;Kiesgerechtigden;;3158
Elst;KD22;Opkomst;;2636
Elst;KD22;AantalStembriefjes;;2636
Elst;KD22;AantalGeldigeStemmen;;2564
Elst;KD22;AantalBlancoStemmen;;72
Elst;KD22;;mr. G.W.baron van Dedem;1420
Elst;KD22;;M.de Ras;1144
Enschede;KD16;Kiesgerechtigden;;2347
Enschede;KD16;Opkomst;;2246
Enschede;KD16;AantalStembriefjes;;2245
Enschede;KD16;AantalGeldigeStemmen;;2216
Enschede;KD16;AantalBlancoStemmen;;26
Enschede;KD16;;W.J. Geertsema;1138
Enschede;KD16;;mr. J.H.A.M. Essink;1078
Franeker;KD11;Kiesgerechtigden;;3691
Franeker;KD11;Opkomst;;3348
Franeker;KD11;AantalStembriefjes;;3348
Franeker;KD11;AantalGeldigeStemmen;;3323
Franeker;KD11;AantalBlancoStemmen;;19
Franeker;KD11;;F. Lieftinck;1796
Franeker;KD11;;P.van Vliet;1527
Gouda;KD40;Kiesgerechtigden;;2985
Gouda;KD40;Opkomst;;2765
Gouda;KD40;AantalStembriefjes;;2764
Gouda;KD40;AantalGeldigeStemmen;;2735
Gouda;KD40;AantalBlancoStemmen;;25
Gouda;KD40;;M. Boogaerdt;1382
Gouda;KD40;;mr. O.J.E.baron van Wassenaer van Catwijck;1353
Groningen;KD1;Kiesgerechtigden;;6021
Groningen;KD1;Opkomst;;4000
Groningen;KD1;AantalStembriefjes;;4000
Groningen;KD1;AantalGeldigeStemmen;;3947
Groningen;KD1;AantalBlancoStemmen;;43
Groningen;KD1;;mr. S.van Houten;2629
Groningen;KD1;;A. Brummelkamp jr.;1318
Haarlemmermeer;KD76;Kiesgerechtigden;;3718
Haarlemmermeer;KD76;AantalStembriefjes;;3075
Haarlemmermeer;KD76;Opkomst;;3073
Haarlemmermeer;KD76;AantalGeldigeStemmen;;3033
Haarlemmermeer;KD76;AantalBlancoStemmen;;27
Haarlemmermeer;KD76;;mr. F.J.M.A. Reekers;1641
Haarlemmermeer;KD76;;jhr. J.B.van Merlen;1391
Hontenisse;KD101;Kiesgerechtigden;;3487
Hontenisse;KD101;Opkomst;;2806
Hontenisse;KD101;AantalStembriefjes;;2806
Hontenisse;KD101;AantalGeldigeStemmen;;2751
Hontenisse;KD101;AantalBlancoStemmen;;36
Hontenisse;KD101;;mr. F.J.F.M. Walter;1576
Hontenisse;KD101;;jhr.mr. J.J. Pompe van Meerdervoort;1175
Katwijk;KD96;Kiesgerechtigden;;4138
Katwijk;KD96;Opkomst;;3408
Katwijk;KD96;AantalStembriefjes;;3408
Katwijk;KD96;AantalGeldigeStemmen;;3370
Katwijk;KD96;AantalBlancoStemmen;;30
Katwijk;KD96;;J.H. Donner;1942
Katwijk;KD96;;A.op de Laak;1428
Loosduinen;KD98;Kiesgerechtigden;;3943
Loosduinen;KD98;Opkomst;;2767
Loosduinen;KD98;AantalStembriefjes;;2767
Loosduinen;KD98;AantalGeldigeStemmen;;2706
Loosduinen;KD98;AantalBlancoStemmen;;57
Loosduinen;KD98;;mr. A.H.M.van Berckel;1355
Loosduinen;KD98;;mr. H.A.van de Velde;1351
Ommen;KD85;Kiesgerechtigden;;2419
Ommen;KD85;Opkomst;;2155
Ommen;KD85;AantalStembriefjes;;2155
Ommen;KD85;AantalGeldigeStemmen;;2135
Ommen;KD85;AantalBlancoStemmen;;14
Ommen;KD85;;J.van Alphen;1159
Ommen;KD85;;jhr. E.van Weede van Dijkveld;976
Schiedam;KD48;Kiesgerechtigden;;2783
Schiedam;KD48;Opkomst;;2499
Schiedam;KD48;AantalStembriefjes;;2499
Schiedam;KD48;AantalGeldigeStemmen;;2460
Schiedam;KD48;AantalBlancoStemmen;;33
Schiedam;KD48;;mr. A.P.R.C.baron van Borch van Verwolde;1314
Schiedam;KD48;;mr. J.G. Gleichman;1146
Schoterland;KD81;Kiesgerechtigden;;2861
Schoterland;KD81;Opkomst;;2084
Schoterland;KD81;AantalStembriefjes;;2084
Schoterland;KD81;AantalGeldigeStemmen;;2033
Schoterland;KD81;AantalBlancoStemmen;;38
Schoterland;KD81;;mr. M.W.F. Treub;1114
Schoterland;KD81;;F. Domela Nieuwenhuis;919
Veendam;KD78;Kiesgerechtigden;;2919
Veendam;KD78;Opkomst;;1940
Veendam;KD78;AantalGeldigeStemmen;;1940
Veendam;KD78;AantalStembriefjes;;1940
Veendam;KD78;AantalBlancoStemmen;;0
Veendam;KD78;;mr. H. Goeman Borgesius;1333
Veendam;KD78;;A. Brummelkamp jr.;607
Wijk bij Duurstede;KD89;Kiesgerechtigden;;3260
Wijk bij Duurstede;KD89;Opkomst;;2977
Wijk bij Duurstede;KD89;AantalStembriefjes;;2977
Wijk bij Duurstede;KD89;AantalGeldigeStemmen;;2911
Wijk bij Duurstede;KD89;AantalBlancoStemmen;;47
Wijk bij Duurstede;KD89;;jhr.mr. W.H.de Beaufort;1463
Wijk bij Duurstede;KD89;;dr. H.J.A.M. Schaepman;1448
Winschoten;KD4;Kiesgerechtigden;;3076
Winschoten;KD4;AantalStembriefjes;;2543
Winschoten;KD4;Opkomst;;2542
Winschoten;KD4;AantalGeldigeStemmen;;2529
Winschoten;KD4;AantalBlancoStemmen;;10
Winschoten;KD4;;B.L. Tijdens;1514
Winschoten;KD4;;mr. D.de Ruiter Zijlker;1015
Wolvega;KD83;Kiesgerechtigden;;2684
Wolvega;KD83;Opkomst;;2138
Wolvega;KD83;AantalStembriefjes;;2138
Wolvega;KD83;AantalGeldigeStemmen;;2110
Wolvega;KD83;AantalBlancoStemmen;;27
Wolvega;KD83;;W.M. Houwing;1191
Wolvega;KD83;;A. Brummelkamp jr.;919
Zaandam;KD37;Kiesgerechtigden;;3711
Zaandam;KD37;AantalStembriefjes;;2840
Zaandam;KD37;Opkomst;;2838
Zaandam;KD37;AantalGeldigeStemmen;;2818
Zaandam;KD37;AantalBlancoStemmen;;14
Zaandam;KD37;;W.de Meyier;1704
Zaandam;KD37;;W. Bax;1113
