Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Alkmaar;KD34;Kiesgerechtigden;;2871
Alkmaar;KD34;Opkomst;;1551
Alkmaar;KD34;AantalStembriefjes;;1551
Alkmaar;KD34;AantalGeldigeStemmen;;1545
Alkmaar;KD34;AantalBlancoStemmen;;5
Alkmaar;KD34;;jhr.mr. C.van Foreest;862
Alkmaar;KD34;;mr. P. Blussé van Oud-Alblas;683
Delft;KD45;Kiesgerechtigden;;2859
Delft;KD45;AantalStembriefjes;;2224
Delft;KD45;Opkomst;;2217
Delft;KD45;AantalGeldigeStemmen;;2210
Delft;KD45;AantalBlancoStemmen;;9
Delft;KD45;;C. Hoekwater;1449
Delft;KD45;;jhr.mr. H.G.C.L. Janssens;761
Dordrecht;KD42;Kiesgerechtigden;;2037
Dordrecht;KD42;Opkomst;;1261
Dordrecht;KD42;AantalStembriefjes;;1261
Dordrecht;KD42;AantalGeldigeStemmen;;1251
Dordrecht;KD42;AantalBlancoStemmen;;9
Dordrecht;KD42;;mr. P. Blussé van Oud-Alblas;699
Dordrecht;KD42;;mr. J.D.van der Poel;552
Gorinchem;KD41;Kiesgerechtigden;;2868
Gorinchem;KD41;AantalStembriefjes;;1721
Gorinchem;KD41;Opkomst;;1720
Gorinchem;KD41;AantalGeldigeStemmen;;1690
Gorinchem;KD41;AantalBlancoStemmen;;18
Gorinchem;KD41;;jhr.mr. P.J. Elout van Soeterwoude;885
Gorinchem;KD41;;mr. A.J. Korteweg;805
Roermond;KD65;Kiesgerechtigden;;1596
Roermond;KD65;AantalStembriefjes;;1301
Roermond;KD65;Opkomst;;1300
Roermond;KD65;AantalGeldigeStemmen;;1293
Roermond;KD65;AantalBlancoStemmen;;5
Roermond;KD65;;mr. M.P.H. Strens;723
Roermond;KD65;;mr. K.L.J. Cornelis;570
Rotterdam;KD73;Kiesgerechtigden;;2781
Rotterdam;KD73;AantalStembriefjes;;1204
Rotterdam;KD73;Opkomst;;1200
Rotterdam;KD73;AantalGeldigeStemmen;;1194
Rotterdam;KD73;AantalBlancoStemmen;;7
Rotterdam;KD73;;mr. N. Olivier;673
Rotterdam;KD73;;I.D. Fransen van de Putte;521
Zwolle;KD12;Kiesgerechtigden;;2973
Zwolle;KD12;Opkomst;;1484
Zwolle;KD12;AantalStembriefjes;;1484
Zwolle;KD12;AantalGeldigeStemmen;;1477
Zwolle;KD12;AantalBlancoStemmen;;6
Zwolle;KD12;;mr. P. Mijer;744
Zwolle;KD12;;T.J. Stieltjes;733
