Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Breda;KD61;Kiesgerechtigden;;4036
Breda;KD61;Opkomst;;2511
Breda;KD61;AantalStembriefjes;;2511
Breda;KD61;AantalGeldigeStemmen;;2479
Breda;KD61;AantalBlancoStemmen;;24
Breda;KD61;;mr. A.F.X. Luyben;1595
Breda;KD61;;mr. J.H.van Mierlo;759
Breda;KD61;;mr. G. Groen van Prinsterer;70
Gouda;KD40;Kiesgerechtigden;;3448
Gouda;KD40;Opkomst;;2324
Gouda;KD40;AantalStembriefjes;;2323
Gouda;KD40;AantalGeldigeStemmen;;2317
Gouda;KD40;AantalBlancoStemmen;;5
Gouda;KD40;;mr. H.C. Verniers van der Loeff;957
Gouda;KD40;;dr. A. Kuyper;767
Gouda;KD40;;mr. J. Heemskerk Azn.;392
Gouda;KD40;;mr. W.baron van Goltstein;197
