Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Almelo;KD15;Kiesgerechtigden;;1953
Almelo;KD15;Opkomst;;1471
Almelo;KD15;AantalStembriefjes;;1471
Almelo;KD15;AantalGeldigeStemmen;;1461
Almelo;KD15;AantalBlancoStemmen;;6
Almelo;KD15;;mr. P.A.S.van Limburg Brouwer;767
Almelo;KD15;;mr. B. Brouwer;653
