Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Alkmaar;KD34;Kiesgerechtigden;;10270
Alkmaar;KD34;Opkomst;;8771
Alkmaar;KD34;AantalStembriefjes;;8771
Alkmaar;KD34;AantalGeldigeStemmen;;8712
Alkmaar;KD34;AantalBlancoStemmen;;59
Alkmaar;KD34;;jhr.mr. P.van Foreest;4953
Alkmaar;KD34;;N. Glinderman;3759
Amsterdam II;KD29;Kiesgerechtigden;;4404
Amsterdam II;KD29;Opkomst;;3349
Amsterdam II;KD29;AantalStembriefjes;;3349
Amsterdam II;KD29;AantalGeldigeStemmen;;3309
Amsterdam II;KD29;AantalBlancoStemmen;;40
Amsterdam II;KD29;;J.R. Snoeck Henkemans;1755
Amsterdam II;KD29;;J. Oudegeest;1554
Amsterdam III;KD30;Kiesgerechtigden;;13120
Amsterdam III;KD30;Opkomst;;10188
Amsterdam III;KD30;AantalStembriefjes;;10188
Amsterdam III;KD30;AantalGeldigeStemmen;;10115
Amsterdam III;KD30;AantalBlancoStemmen;;73
Amsterdam III;KD30;;mr. P.J. Troelstra;5691
Amsterdam III;KD30;;mr. G.A.van Hamel;4424
Amsterdam IX;KD115;Kiesgerechtigden;;18434
Amsterdam IX;KD115;Opkomst;;13903
Amsterdam IX;KD115;AantalStembriefjes;;13903
Amsterdam IX;KD115;AantalGeldigeStemmen;;13792
Amsterdam IX;KD115;AantalBlancoStemmen;;111
Amsterdam IX;KD115;;W.H. Vliegen;7542
Amsterdam IX;KD115;;mr. T.de Vries;6250
Amsterdam V;KD32;Kiesgerechtigden;;12892
Amsterdam V;KD32;Opkomst;;9045
Amsterdam V;KD32;AantalStembriefjes;;9045
Amsterdam V;KD32;AantalGeldigeStemmen;;8982
Amsterdam V;KD32;AantalBlancoStemmen;;63
Amsterdam V;KD32;;T.M. Ketelaar;5988
Amsterdam V;KD32;;mr. P.J.M. Aalberse;2994
Amsterdam VI;KD112;Kiesgerechtigden;;5857
Amsterdam VI;KD112;Opkomst;;4597
Amsterdam VI;KD112;AantalStembriefjes;;4597
Amsterdam VI;KD112;AantalGeldigeStemmen;;4564
Amsterdam VI;KD112;AantalBlancoStemmen;;33
Amsterdam VI;KD112;;mr. W.H.de Beaufort;2376
Amsterdam VI;KD112;;mr. H. Verkouteren;2188
Appingedam;KD3;Kiesgerechtigden;;8531
Appingedam;KD3;Opkomst;;6886
Appingedam;KD3;AantalStembriefjes;;6886
Appingedam;KD3;AantalGeldigeStemmen;;6848
Appingedam;KD3;AantalBlancoStemmen;;38
Appingedam;KD3;;J.H.A. Schaper;3782
Appingedam;KD3;;A. Zijlstra;3066
Arnhem;KD17;Kiesgerechtigden;;8069
Arnhem;KD17;Opkomst;;6869
Arnhem;KD17;AantalStembriefjes;;6869
Arnhem;KD17;AantalGeldigeStemmen;;6821
Arnhem;KD17;AantalBlancoStemmen;;48
Arnhem;KD17;;K. Eland;3638
Arnhem;KD17;;H.C. Hogerzeil;3183
Assen;KD5;Kiesgerechtigden;;7772
Assen;KD5;Opkomst;;4844
Assen;KD5;AantalStembriefjes;;4844
Assen;KD5;AantalGeldigeStemmen;;4816
Assen;KD5;AantalBlancoStemmen;;28
Assen;KD5;;mr. M.W.F. Treub;3343
Assen;KD5;;jhr. L.A.S.J.de Milly van Heiden Reinestein;1473
Brielle;KD50;Kiesgerechtigden;;7687
Brielle;KD50;Opkomst;;6584
Brielle;KD50;AantalStembriefjes;;6584
Brielle;KD50;AantalGeldigeStemmen;;6549
Brielle;KD50;AantalBlancoStemmen;;35
Brielle;KD50;;A. Roodhuyzen;3622
Brielle;KD50;;H.C. Vegtel;2927
Den Helder;KD94;Kiesgerechtigden;;8402
Den Helder;KD94;Opkomst;;7220
Den Helder;KD94;AantalStembriefjes;;7220
Den Helder;KD94;AantalGeldigeStemmen;;7173
Den Helder;KD94;AantalBlancoStemmen;;47
Den Helder;KD94;;mr. T.H.de Meester;3891
Den Helder;KD94;;A.P. Staalman;3282
Dordrecht;KD42;Kiesgerechtigden;;8846
Dordrecht;KD42;Opkomst;;7671
Dordrecht;KD42;AantalStembriefjes;;7671
Dordrecht;KD42;AantalGeldigeStemmen;;7583
Dordrecht;KD42;AantalBlancoStemmen;;88
Dordrecht;KD42;;P.J.de Kanter;4146
Dordrecht;KD42;;dr. A. Kuyper;3437
Ede;KD90;Kiesgerechtigden;;7688
Ede;KD90;Opkomst;;6741
Ede;KD90;AantalStembriefjes;;6741
Ede;KD90;AantalGeldigeStemmen;;6713
Ede;KD90;AantalBlancoStemmen;;28
Ede;KD90;;jhr. G.J.A. Schimmelpenninck;4134
Ede;KD90;;J.W. Rudolph;2579
Franeker;KD11;Kiesgerechtigden;;8043
Franeker;KD11;Opkomst;;7056
Franeker;KD11;AantalStembriefjes;;7056
Franeker;KD11;AantalGeldigeStemmen;;7023
Franeker;KD11;AantalBlancoStemmen;;33
Franeker;KD11;;W.P.G. Helsdingen;3673
Franeker;KD11;;C.E.van Koetsveld;3350
Gouda;KD40;Kiesgerechtigden;;9453
Gouda;KD40;Opkomst;;8821
Gouda;KD40;AantalStembriefjes;;8821
Gouda;KD40;AantalGeldigeStemmen;;8773
Gouda;KD40;AantalBlancoStemmen;;48
Gouda;KD40;;jhr.mr. W.T.C.van Doorn;4526
Gouda;KD40;;H. Colijn;4247
Haarlem;KD33;Kiesgerechtigden;;9807
Haarlem;KD33;Opkomst;;8673
Haarlem;KD33;AantalStembriefjes;;8673
Haarlem;KD33;AantalGeldigeStemmen;;8622
Haarlem;KD33;AantalBlancoStemmen;;51
Haarlem;KD33;;jhr.mr. F.K.van Lennep;4339
Haarlem;KD33;;mr. J.H. Thiel;4283
Hoogezand;KD107;Kiesgerechtigden;;6921
