Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Amsterdam II;KD29;Kiesgerechtigden;;5041
Amsterdam II;KD29;Opkomst;;2773
Amsterdam II;KD29;AantalStembriefjes;;2773
Amsterdam II;KD29;AantalGeldigeStemmen;;2747
Amsterdam II;KD29;AantalBlancoStemmen;;26
Amsterdam II;KD29;;A.H. Gerhard;1675
Amsterdam II;KD29;;J.R. Snoeck Henkemans;1072
Amsterdam VI;KD112;Kiesgerechtigden;;6048
Amsterdam VI;KD112;Opkomst;;3815
Amsterdam VI;KD112;AantalStembriefjes;;3815
Amsterdam VI;KD112;AantalGeldigeStemmen;;3792
Amsterdam VI;KD112;AantalBlancoStemmen;;23
Amsterdam VI;KD112;;B. Nierstrasz;2275
Amsterdam VI;KD112;;mr. H. Verkouteren;1517
