Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Amsterdam VI;KD112;Kiesgerechtigden;;5040
Amsterdam VI;KD112;Opkomst;;2378
Amsterdam VI;KD112;AantalStembriefjes;;2378
Amsterdam VI;KD112;AantalGeldigeStemmen;;2364
Amsterdam VI;KD112;AantalBlancoStemmen;;14
Amsterdam VI;KD112;;mr. Th. Heemskerk;844
Amsterdam VI;KD112;;W.J. Geertsema;774
Amsterdam VI;KD112;;C.V. Gerritsen;679
Amsterdam VI;KD112;;A.L.van Hasselt;51
Amsterdam VI;KD112;;mr. S.van Houten;16
Enschede;KD16;Kiesgerechtigden;;8778
Enschede;KD16;Opkomst;;8016
Enschede;KD16;AantalStembriefjes;;8016
Enschede;KD16;AantalGeldigeStemmen;;7935
Enschede;KD16;AantalBlancoStemmen;;81
Enschede;KD16;;J.H.ter Veer;3238
Enschede;KD16;;H.H.van Kol;2589
Enschede;KD16;;mr. G. Jannink;1653
Enschede;KD16;;P.van Vliet;256
Enschede;KD16;;jhr. J.D. Six;199
Lochem;KD86;Kiesgerechtigden;;7408
Lochem;KD86;Opkomst;;3967
Lochem;KD86;AantalStembriefjes;;3967
Lochem;KD86;AantalGeldigeStemmen;;3915
Lochem;KD86;AantalBlancoStemmen;;52
Lochem;KD86;;dr. C. Lely;3558
Lochem;KD86;;jhr.mr. J.H.J. Quarles van Ufford;357
Zutphen;KD19;Kiesgerechtigden;;6922
Zutphen;KD19;Opkomst;;5500
Zutphen;KD19;AantalStembriefjes;;5500
Zutphen;KD19;AantalGeldigeStemmen;;5439
Zutphen;KD19;AantalBlancoStemmen;;61
Zutphen;KD19;;mr. H. Goeman Borgesius;3365
Zutphen;KD19;;mr. Th. Heemskerk;2074
