Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Amsterdam;KD72;Kiesgerechtigden;;4602
Amsterdam;KD72;Opkomst;;1974
Amsterdam;KD72;AantalStembriefjes;;1974
Amsterdam;KD72;AantalGeldigeStemmen;;1965
Amsterdam;KD72;AantalBlancoStemmen;;9
Amsterdam;KD72;;mr. G.van Tienhoven;763
Amsterdam;KD72;;mr. A.S.van Nierop;741
Amsterdam;KD72;;mr. M.J.van Lennep;452
Goes;KD53;Kiesgerechtigden;;2623
Goes;KD53;Opkomst;;1953
Goes;KD53;AantalStembriefjes;;1953
Goes;KD53;AantalGeldigeStemmen;;1926
Goes;KD53;AantalBlancoStemmen;;22
Goes;KD53;;J.P. Bredius Jr.;692
Goes;KD53;;dr. P.J.F. Vermeulen;622
Goes;KD53;;mr. C.T.graaf van Lynden van Sandenburg;588
Hilversum;KD77;Kiesgerechtigden;;1827
Hilversum;KD77;AantalStembriefjes;;1303
Hilversum;KD77;Opkomst;;1302
Hilversum;KD77;AantalGeldigeStemmen;;1297
Hilversum;KD77;AantalBlancoStemmen;;2
Hilversum;KD77;;mr. L.G. Verwer;471
Hilversum;KD77;;A.baron van Schimmelpenninck van der Oye;454
Hilversum;KD77;;mr. L.G. Greeve;202
Hilversum;KD77;;A.L.van Tienen;95
Hilversum;KD77;;jhr. C. Hartsen;50
Hilversum;KD77;;mr. W.baron van Goltstein;20
Rotterdam;KD73;Kiesgerechtigden;;3360
Rotterdam;KD73;Opkomst;;1903
Rotterdam;KD73;AantalStembriefjes;;1903
Rotterdam;KD73;AantalGeldigeStemmen;;1888
Rotterdam;KD73;AantalBlancoStemmen;;12
Rotterdam;KD73;;J.van Stolk Jzn.;838
Rotterdam;KD73;;mr. A. Kerdijk;815
Rotterdam;KD73;;mr. L.W.C. Keuchenius;220
Winschoten;KD4;Kiesgerechtigden;;2558
Winschoten;KD4;Opkomst;;1341
Winschoten;KD4;AantalStembriefjes;;1341
Winschoten;KD4;AantalGeldigeStemmen;;1330
Winschoten;KD4;AantalBlancoStemmen;;3
Winschoten;KD4;;D. Mulder Dzn.;465
Winschoten;KD4;;mr. J.W.J.baron van Vos van Steenwijk;447
Winschoten;KD4;;L.G. Brock;203
Winschoten;KD4;;D.R. Mansholt;137
Winschoten;KD4;;mr. B.J. Gratama;67
Zevenbergen;KD62;Kiesgerechtigden;;2044
Zevenbergen;KD62;AantalStembriefjes;;1521
Zevenbergen;KD62;Opkomst;;1520
Zevenbergen;KD62;AantalGeldigeStemmen;;1508
Zevenbergen;KD62;AantalBlancoStemmen;;3
Zevenbergen;KD62;;J.H.A. Diepen;703
Zevenbergen;KD62;;mr. R.van der Werk;361
Zevenbergen;KD62;;dr. T.C.L. Wijnmalen;337
Zevenbergen;KD62;;A. Sassen;102
