Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Maastricht;KD64;Kiesgerechtigden;;2583
Maastricht;KD64;AantalStembriefjes;;1669
Maastricht;KD64;Opkomst;;1668
Maastricht;KD64;AantalGeldigeStemmen;;1625
Maastricht;KD64;AantalBlancoStemmen;;29
Maastricht;KD64;;jhr.mr. G.L.M.H. Ruijs van Beerenbroek;1199
Maastricht;KD64;;F.baron van Pelser Berensberg;384
Sneek;KD10;Kiesgerechtigden;;4609
Sneek;KD10;AantalStembriefjes;;3615
Sneek;KD10;Opkomst;;3614
Sneek;KD10;AantalGeldigeStemmen;;3595
Sneek;KD10;AantalBlancoStemmen;;17
Sneek;KD10;;mr. Ph.van Blom;1865
Sneek;KD10;;W.M. Oppedijk;1717
Tilburg;KD57;Kiesgerechtigden;;3299
Tilburg;KD57;AantalStembriefjes;;2087
Tilburg;KD57;Opkomst;;2086
Tilburg;KD57;AantalGeldigeStemmen;;2067
Tilburg;KD57;AantalBlancoStemmen;;13
Tilburg;KD57;;mr. B.M. Bahlmann;951
Tilburg;KD57;;J.H.A. Diepen;935
Tilburg;KD57;;J.F.van der Heyde;727
Tilburg;KD57;;J.F. Jansen;178
