Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Amersfoort;KD26;Kiesgerechtigden;;2862
Amersfoort;KD26;AantalStembriefjes;;2130
Amersfoort;KD26;Opkomst;;2126
Amersfoort;KD26;AantalGeldigeStemmen;;2119
Amersfoort;KD26;AantalBlancoStemmen;;5
Amersfoort;KD26;;mr. E.L.baron van Hardenbroek van Lockhorst;1559
Amersfoort;KD26;;J.A. Alberdingk Thijm;560
Amsterdam;KD72;Kiesgerechtigden;;3959
Amsterdam;KD72;Opkomst;;2018
Amsterdam;KD72;AantalStembriefjes;;2018
Amsterdam;KD72;AantalGeldigeStemmen;;2011
Amsterdam;KD72;AantalBlancoStemmen;;5
Amsterdam;KD72;;mr.dr. E.H.s' Jacob;1017
Amsterdam;KD72;;J.P.de Bordes;994
Utrecht;KD25;Kiesgerechtigden;;2818
Utrecht;KD25;AantalStembriefjes;;1411
Utrecht;KD25;Opkomst;;1410
Utrecht;KD25;AantalGeldigeStemmen;;1389
Utrecht;KD25;AantalBlancoStemmen;;17
Utrecht;KD25;;mr. N.P.J. Kien;818
Utrecht;KD25;;mr. W.R. Boer;571
