Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Alkmaar;KD34;Kiesgerechtigden;;3036
Alkmaar;KD34;Opkomst;;1126
Alkmaar;KD34;AantalStembriefjes;;1126
Alkmaar;KD34;AantalGeldigeStemmen;;1117
Alkmaar;KD34;AantalBlancoStemmen;;4
Alkmaar;KD34;;mr. N. Olivier;593
Alkmaar;KD34;;J.D.van Herwerden;446
Almelo;KD15;Kiesgerechtigden;;1844
Almelo;KD15;AantalStembriefjes;;859
Almelo;KD15;Opkomst;;858
Almelo;KD15;AantalGeldigeStemmen;;845
Almelo;KD15;AantalBlancoStemmen;;8
Almelo;KD15;;mr. G.M.van der Linden;675
Almelo;KD15;;mr. G.A. Vos de Wael;93
Almelo;KD15;;S.A.van Hoogstraten;33
Amersfoort;KD26;Kiesgerechtigden;;2804
Amersfoort;KD26;Opkomst;;1245
Amersfoort;KD26;AantalStembriefjes;;1245
Amersfoort;KD26;AantalGeldigeStemmen;;1205
Amersfoort;KD26;AantalBlancoStemmen;;14
Amersfoort;KD26;;jhr.mr. H.A.M.van Asch van Wijck;895
Amersfoort;KD26;;mr. H. Verloren van Themaat;262
Amsterdam;KD72;AantalGeldigeStemmen;;4914
Amsterdam;KD72;Kiesgerechtigden;;4249
Amsterdam;KD72;AantalStembriefjes;;1654
Amsterdam;KD72;Opkomst;;1647
Amsterdam;KD72;AantalBlancoStemmen;;13
Amsterdam;KD72;;jhr.mr. G.C.J.van Reenen;1597
Amsterdam;KD72;;mr. M.H. Godefroi;1491
Amsterdam;KD72;;mr. J. Heemskerk Bzn.;1113
Amsterdam;KD72;;mr. J. Messchert van Vollenhoven;435
Amsterdam;KD72;;mr.dr. J.J. Teding van Berkhout;112
Amsterdam;KD72;;mr. L.W.C. Keuchenius;107
Appingedam;KD3;Kiesgerechtigden;;3058
Appingedam;KD3;Opkomst;;1075
Appingedam;KD3;AantalStembriefjes;;1075
Appingedam;KD3;AantalGeldigeStemmen;;1056
Appingedam;KD3;AantalBlancoStemmen;;8
Appingedam;KD3;;J.F. Zijlker;705
Appingedam;KD3;;mr. B.J. Gratama;168
Appingedam;KD3;;mr. E.van Loon;105
Arnhem;KD17;Kiesgerechtigden;;2892
Arnhem;KD17;Opkomst;;1531
Arnhem;KD17;AantalStembriefjes;;1531
Arnhem;KD17;AantalGeldigeStemmen;;1514
Arnhem;KD17;AantalBlancoStemmen;;16
Arnhem;KD17;;mr. L.W.C. Keuchenius;918
Arnhem;KD17;;jhr.mr. W.T. Gevers Deynoot;566
Assen;KD5;Kiesgerechtigden;;2247
Assen;KD5;Opkomst;;893
Assen;KD5;AantalStembriefjes;;893
Assen;KD5;AantalGeldigeStemmen;;887
Assen;KD5;AantalBlancoStemmen;;2
Assen;KD5;;mr. L. Oldenhuis Gratama;391
Assen;KD5;;mr. P.van der Veen;357
Assen;KD5;;mr. J.H. Geertsema;90
Breda;KD61;Kiesgerechtigden;;3782
Breda;KD61;Opkomst;;1528
Breda;KD61;AantalStembriefjes;;1528
Breda;KD61;AantalGeldigeStemmen;;1428
Breda;KD61;AantalBlancoStemmen;;30
Breda;KD61;;N.R.H. Guljé;1330
Delft;KD45;Kiesgerechtigden;;2759
Delft;KD45;Opkomst;;1483
Delft;KD45;AantalStembriefjes;;1483
Delft;KD45;AantalGeldigeStemmen;;1464
Delft;KD45;AantalBlancoStemmen;;18
Delft;KD45;;mr. W. Wintgens;630
Delft;KD45;;jhr.mr. W.T. Gevers Deynoot;411
Delft;KD45;;mr. L.W.C. Keuchenius;371
Deventer;KD14;Kiesgerechtigden;;2631
Deventer;KD14;Opkomst;;1064
Deventer;KD14;AantalStembriefjes;;1064
Deventer;KD14;AantalGeldigeStemmen;;1035
Deventer;KD14;AantalBlancoStemmen;;11
Deventer;KD14;;mr. A.van Delden;774
Deventer;KD14;;O.baron van Wassenaer van Catwijck;238
Dokkum;KD8;Kiesgerechtigden;;2397
Dokkum;KD8;Opkomst;;1438
Dokkum;KD8;AantalStembriefjes;;1438
Dokkum;KD8;AantalGeldigeStemmen;;1426
Dokkum;KD8;AantalBlancoStemmen;;10
Dokkum;KD8;;mr. Ph.van Blom;900
Dokkum;KD8;;O.baron van Wassenaer van Catwijck;499
Dordrecht;KD42;Kiesgerechtigden;;2165
Dordrecht;KD42;Opkomst;;1477
Dordrecht;KD42;AantalStembriefjes;;1477
Dordrecht;KD42;AantalGeldigeStemmen;;1422
Dordrecht;KD42;AantalBlancoStemmen;;8
Dordrecht;KD42;;mr. G.A.de Raadt;744
Dordrecht;KD42;;mr. G. Groen van Prinsterer;619
Dordrecht;KD42;;mr. M.G. Timmers Verhoeven;31
Eindhoven;KD60;Kiesgerechtigden;;2268
Eindhoven;KD60;AantalStembriefjes;;1047
Eindhoven;KD60;Opkomst;;1046
Eindhoven;KD60;AantalGeldigeStemmen;;1038
Eindhoven;KD60;AantalBlancoStemmen;;7
Eindhoven;KD60;;mr. P.van den Heuvel;960
Eindhoven;KD60;;mr. P.J.A. Smitz;51
Gorinchem;KD41;Kiesgerechtigden;;3009
Gorinchem;KD41;AantalStembriefjes;;1512
Gorinchem;KD41;Opkomst;;1510
Gorinchem;KD41;AantalGeldigeStemmen;;1467
Gorinchem;KD41;AantalBlancoStemmen;;29
Gorinchem;KD41;;W.C.M. Begram;1147
Gorinchem;KD41;;mr. P.P.van Bosse;235
Gouda;KD40;Kiesgerechtigden;;3528
Gouda;KD40;Opkomst;;1849
Gouda;KD40;AantalStembriefjes;;1849
Gouda;KD40;AantalGeldigeStemmen;;1838
Gouda;KD40;AantalBlancoStemmen;;7
Gouda;KD40;;M.A.F.H. Hoffman;1162
Gouda;KD40;;jhr.mr. W.T. Gevers Deynoot;636
Haarlem;KD33;Kiesgerechtigden;;2507
Haarlem;KD33;AantalStembriefjes;;1057
Haarlem;KD33;Opkomst;;1056
Haarlem;KD33;AantalGeldigeStemmen;;1042
Haarlem;KD33;AantalBlancoStemmen;;8
Haarlem;KD33;;J.J.van Mulken;638
Haarlem;KD33;;jhr.mr. J.G.H.van Tets van Goudriaan;204
Haarlem;KD33;;O.baron van Wassenaer van Catwijck;168
Hoorn;KD35;Kiesgerechtigden;;3489
Hoorn;KD35;Opkomst;;1043
Hoorn;KD35;AantalStembriefjes;;1043
Hoorn;KD35;AantalGeldigeStemmen;;1033
Hoorn;KD35;AantalBlancoStemmen;;8
Hoorn;KD35;;H. Mensonides;558
Hoorn;KD35;;mr. W. Terpstra;385
Leeuwarden;KD7;Kiesgerechtigden;;3063
Leeuwarden;KD7;Opkomst;;1613
Leeuwarden;KD7;AantalStembriefjes;;1613
Leeuwarden;KD7;AantalGeldigeStemmen;;1603
Leeuwarden;KD7;AantalBlancoStemmen;;6
Leeuwarden;KD7;;J. Andreae;851
Leeuwarden;KD7;;A.van Assen;681
Leeuwarden;KD7;;G.H. Betz;58
Leiden;KD38;Kiesgerechtigden;;2643
Leiden;KD38;Opkomst;;1383
Leiden;KD38;AantalStembriefjes;;1383
Leiden;KD38;AantalGeldigeStemmen;;1363
Leiden;KD38;AantalBlancoStemmen;;17
Leiden;KD38;;P.H.baron van Taets van Amerongen;908
Leiden;KD38;;G.H. Betz;414
Maastricht;KD64;Kiesgerechtigden;;2389
Maastricht;KD64;Opkomst;;1073
Maastricht;KD64;AantalStembriefjes;;1073
Maastricht;KD64;AantalGeldigeStemmen;;1039
Maastricht;KD64;AantalBlancoStemmen;;25
Maastricht;KD64;;C.A.baron van Bieberstein Rogalla Zawadsky;1021
Middelburg;KD51;Kiesgerechtigden;;2693
Middelburg;KD51;Opkomst;;1300
Middelburg;KD51;AantalStembriefjes;;1299
Middelburg;KD51;AantalGeldigeStemmen;;1261
Middelburg;KD51;AantalBlancoStemmen;;13
Middelburg;KD51;;mr. G.A. Fokker;862
Middelburg;KD51;;O.baron van Wassenaer van Catwijck;322
Nijmegen;KD23;Kiesgerechtigden;;2481
Nijmegen;KD23;AantalStembriefjes;;1149
Nijmegen;KD23;Opkomst;;1148
Nijmegen;KD23;AantalGeldigeStemmen;;1115
Nijmegen;KD23;AantalBlancoStemmen;;28
Nijmegen;KD23;;jhr. J.A.C.A.van Nispen van Sevenaer;904
Nijmegen;KD23;;mr. W.J. Triebels;181
Roermond;KD65;Kiesgerechtigden;;1932
Roermond;KD65;AantalStembriefjes;;1596
Roermond;KD65;Opkomst;;1593
Roermond;KD65;AantalGeldigeStemmen;;1568
Roermond;KD65;AantalBlancoStemmen;;11
Roermond;KD65;;mr. P.L.de Lom de Berg;832
Roermond;KD65;;mr. J.H.L. Haffmans;728
Rotterdam;KD73;Kiesgerechtigden;;2935
Rotterdam;KD73;AantalStembriefjes;;1691
Rotterdam;KD73;Opkomst;;1690
Rotterdam;KD73;AantalGeldigeStemmen;;1666
Rotterdam;KD73;AantalBlancoStemmen;;18
Rotterdam;KD73;;I.D. Fransen van de Putte;1136
Rotterdam;KD73;;W.A. Viruly Verbrugge;1090
Rotterdam;KD73;;mr. L.W.C. Keuchenius;506
Rotterdam;KD73;;mr. M. Bichon van Ysselmonde;485
