Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Den Helder;KD94;Kiesgerechtigden;;3711
Den Helder;KD94;Opkomst;;1958
Den Helder;KD94;AantalStembriefjes;;1957
Den Helder;KD94;AantalGeldigeStemmen;;1948
Den Helder;KD94;AantalBlancoStemmen;;6
Den Helder;KD94;;A.P. Staalman;558
Den Helder;KD94;;J.J. Kraakman;281
Den Helder;KD94;;H.van Calcar;256
Den Helder;KD94;;J.C. Jansen;243
Den Helder;KD94;;J.J. Stooker;213
Den Helder;KD94;;P.C.F. Frowein;158
Den Helder;KD94;;J.G.van den Bosch;91
Den Helder;KD94;;J. Korver;75
Den Helder;KD94;;J.B. Verhey;40
