Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Amsterdam II;KD29;Kiesgerechtigden;;5041
Amsterdam II;KD29;Opkomst;;3383
Amsterdam II;KD29;AantalStembriefjes;;3383
Amsterdam II;KD29;AantalGeldigeStemmen;;3332
Amsterdam II;KD29;AantalBlancoStemmen;;51
Amsterdam II;KD29;;A.H. Gerhard;1532
Amsterdam II;KD29;;J.R. Snoeck Henkemans;923
Amsterdam II;KD29;;P. Otto;829
Amsterdam II;KD29;;dr. H. Gorter;48
Amsterdam VI;KD112;Kiesgerechtigden;;6048
Amsterdam VI;KD112;Opkomst;;3862
Amsterdam VI;KD112;AantalStembriefjes;;3862
Amsterdam VI;KD112;AantalGeldigeStemmen;;3844
Amsterdam VI;KD112;AantalBlancoStemmen;;18
Amsterdam VI;KD112;;B. Nierstrasz;1833
Amsterdam VI;KD112;;mr. H. Verkouteren;1438
Amsterdam VI;KD112;;P.A.C. Joosten;573
