Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Alkmaar;KD34;Kiesgerechtigden;;3232
Alkmaar;KD34;AantalStembriefjes;;2509
Alkmaar;KD34;Opkomst;;2507
Alkmaar;KD34;AantalGeldigeStemmen;;2496
Alkmaar;KD34;AantalBlancoStemmen;;8
Alkmaar;KD34;;jhr.mr. C.van Foreest;1444
Alkmaar;KD34;;mr. W.van der Kaay;1052
Almelo;KD15;Kiesgerechtigden;;1974
Almelo;KD15;Opkomst;;1720
Almelo;KD15;AantalStembriefjes;;1720
Almelo;KD15;AantalGeldigeStemmen;;1701
Almelo;KD15;AantalBlancoStemmen;;13
Almelo;KD15;;mr. G.M.van der Linden;875
Almelo;KD15;;mr. G.A. Vos de Wael;826
Arnhem;KD17;AantalGeldigeStemmen;;4964
Arnhem;KD17;Kiesgerechtigden;;3022
Arnhem;KD17;AantalStembriefjes;;2506
Arnhem;KD17;Opkomst;;2505
Arnhem;KD17;AantalBlancoStemmen;;40
Arnhem;KD17;;mr. W.H. Dullert;1261
Arnhem;KD17;;mr. L.A.J.W.baron van Sloet van de Beele;1260
Arnhem;KD17;;mr. G. Groen van Prinsterer;1222
Arnhem;KD17;;mr. C.T.graaf van Lynden van Sandenburg;1221
Breda;KD61;Kiesgerechtigden;;3861
Breda;KD61;AantalStembriefjes;;2834
Breda;KD61;Opkomst;;2832
Breda;KD61;AantalGeldigeStemmen;;2780
Breda;KD61;AantalBlancoStemmen;;10
Breda;KD61;;mr. P.J.J. Hollingérus Pijpers;1446
Breda;KD61;;F.H.H. Borret;1334
Delft;KD45;AantalGeldigeStemmen;;4354
Delft;KD45;Kiesgerechtigden;;2842
Delft;KD45;AantalStembriefjes;;2215
Delft;KD45;Opkomst;;2213
Delft;KD45;AantalBlancoStemmen;;56
Delft;KD45;;mr. J.van Kuyk;1316
Delft;KD45;;J.L. Nierstrasz;1220
Delft;KD45;;mr. J.L.de Bruyn Kops;871
Delft;KD45;;dr. K.A. Rombach;762
Haarlem;KD33;Kiesgerechtigden;;2504
Haarlem;KD33;AantalStembriefjes;;1909
Haarlem;KD33;Opkomst;;1908
Haarlem;KD33;AantalGeldigeStemmen;;1905
Haarlem;KD33;AantalBlancoStemmen;;17
Haarlem;KD33;;G.L.J.van der Hucht;1032
Haarlem;KD33;;jhr.mr. J.de Bosch Kemper;983
Haarlem;KD33;;mr. J.H. Geertsema;901
Haarlem;KD33;;mr. A.S.van Nierop;880
Leiden;KD38;Kiesgerechtigden;;2655
Leiden;KD38;AantalStembriefjes;;1516
Leiden;KD38;Opkomst;;1515
Leiden;KD38;AantalGeldigeStemmen;;1510
Leiden;KD38;AantalBlancoStemmen;;5
Leiden;KD38;;P.H.baron van Taets van Amerongen;1016
Leiden;KD38;;mr. J.L.de Bruyn Kops;491
Roermond;KD65;Kiesgerechtigden;;2186
Roermond;KD65;Opkomst;;1700
Roermond;KD65;AantalStembriefjes;;1700
Roermond;KD65;AantalGeldigeStemmen;;1685
Roermond;KD65;AantalBlancoStemmen;;14
Roermond;KD65;;mr. K.L.J. Cornelis;844
Roermond;KD65;;J.H. Arnoldts;841
