Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Goes;KD53;AantalGeldigeStemmen;;4899
Goes;KD53;Kiesgerechtigden;;2926
Goes;KD53;AantalStembriefjes;;2543
Goes;KD53;Opkomst;;2542
Goes;KD53;AantalBlancoStemmen;;77
Goes;KD53;;A.baron van Schimmelpenninck van der Oye;1439
Goes;KD53;;jhr.mr. A.F.de Savornin Lohman;1431
Goes;KD53;;jhr.mr. J.L.C. Pompe van Meerdervoort;1067
Goes;KD53;;mr. L.A. Bijbau;962
Haarlemmermeer;KD76;Kiesgerechtigden;;1761
Haarlemmermeer;KD76;Opkomst;;1551
Haarlemmermeer;KD76;AantalStembriefjes;;1551
Haarlemmermeer;KD76;AantalGeldigeStemmen;;1531
Haarlemmermeer;KD76;AantalBlancoStemmen;;7
Haarlemmermeer;KD76;;mr. F.J.M.A. Reekers;845
Haarlemmermeer;KD76;;H.F. Bultman;685
Leiden;KD38;AantalGeldigeStemmen;;5825
Leiden;KD38;Kiesgerechtigden;;3307
Leiden;KD38;Opkomst;;3020
Leiden;KD38;AantalStembriefjes;;3020
Leiden;KD38;AantalBlancoStemmen;;205
Leiden;KD38;;O.baron van Wassenaer van Catwijck;1898
Leiden;KD38;;mr. J.P. Smeele;1515
Leiden;KD38;;mr. H.graaf van Limburg Stirum;1338
Leiden;KD38;;J. Rinkes Borger;1068
Zuidhorn;KD69;Kiesgerechtigden;;1551
Zuidhorn;KD69;Opkomst;;1077
Zuidhorn;KD69;AantalStembriefjes;;1076
Zuidhorn;KD69;AantalGeldigeStemmen;;1075
Zuidhorn;KD69;AantalBlancoStemmen;;1
Zuidhorn;KD69;;mr. E.J.J.B. Cremers;675
Zuidhorn;KD69;;mr. U.H. Huber;400
