Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Almelo;KD15;Kiesgerechtigden;;1844
Almelo;KD15;AantalStembriefjes;;1640
Almelo;KD15;Opkomst;;1639
Almelo;KD15;AantalGeldigeStemmen;;1627
Almelo;KD15;AantalBlancoStemmen;;4
Almelo;KD15;;mr. G.M.van der Linden;914
Almelo;KD15;;mr. P.A.S.van Limburg Brouwer;787
Almelo;KD15;;mr. G.A. Vos de Wael;740
Almelo;KD15;;jhr.mr. J.W.van Loon;694
Amsterdam;KD72;AantalGeldigeStemmen;;8023
Amsterdam;KD72;Kiesgerechtigden;;4249
Amsterdam;KD72;Opkomst;;2965
Amsterdam;KD72;AantalStembriefjes;;2965
Amsterdam;KD72;AantalBlancoStemmen;;860
Amsterdam;KD72;;J.J. Rochussen;1773
Amsterdam;KD72;;H.A. Insinger;1748
Amsterdam;KD72;;mr. M.J. Pijnappel;1650
Amsterdam;KD72;;mr. P.P.van Bosse;1313
Amsterdam;KD72;;J.van Swieten;1294
Amsterdam;KD72;;jhr.mr. J.de Bosch Kemper;240
Assen;KD5;AantalGeldigeStemmen;;2916
Assen;KD5;Kiesgerechtigden;;2247
Assen;KD5;AantalStembriefjes;;1530
Assen;KD5;Opkomst;;1529
Assen;KD5;AantalBlancoStemmen;;138
Assen;KD5;;mr. L.graaf van Heiden Reinestein;859
Assen;KD5;;mr. J.R. Thorbecke;807
Assen;KD5;;mr. L. Oldenhuis Gratama;713
Assen;KD5;;mr. P.P.van Bosse;537
Delft;KD45;AantalGeldigeStemmen;;3833
Delft;KD45;Kiesgerechtigden;;2759
Delft;KD45;Opkomst;;1949
Delft;KD45;AantalStembriefjes;;1949
Delft;KD45;AantalBlancoStemmen;;57
Delft;KD45;;mr. W. Wintgens;1216
Delft;KD45;;C. Hoekwater;1176
Delft;KD45;;mr. P.P.van Bosse;734
Delft;KD45;;mr. J.L.de Bruyn Kops;707
Deventer;KD14;Kiesgerechtigden;;2631
Deventer;KD14;Opkomst;;1593
Deventer;KD14;AantalStembriefjes;;1593
Deventer;KD14;AantalGeldigeStemmen;;1578
Deventer;KD14;AantalBlancoStemmen;;11
Deventer;KD14;;mr. G. Dumbar;1084
Deventer;KD14;;mr. G.A. Vos de Wael;494
Dordrecht;KD42;AantalGeldigeStemmen;;3756
Dordrecht;KD42;Kiesgerechtigden;;2165
Dordrecht;KD42;Opkomst;;1918
