Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Amsterdam IX;KD115;Kiesgerechtigden;;9137
Amsterdam IX;KD115;Opkomst;;5639
Amsterdam IX;KD115;AantalStembriefjes;;5639
Amsterdam IX;KD115;AantalGeldigeStemmen;;5512
Amsterdam IX;KD115;AantalBlancoStemmen;;127
Amsterdam IX;KD115;;mr. P.J. Troelstra;2050
Amsterdam IX;KD115;;H. Bijleveld;1643
Amsterdam IX;KD115;;C.V. Gerritsen;1016
Amsterdam IX;KD115;;mr. N.G. Pierson;803
's-Gravenhage II;KD44;Kiesgerechtigden;;7037
's-Gravenhage II;KD44;Opkomst;;3863
's-Gravenhage II;KD44;AantalStembriefjes;;3863
's-Gravenhage II;KD44;AantalGeldigeStemmen;;3816
's-Gravenhage II;KD44;AantalBlancoStemmen;;47
's-Gravenhage II;KD44;;mr. W. Dolk;1916
's-Gravenhage II;KD44;;jhr.mr. W.T. Gevers Deynoot 2;1883
's-Gravenhage II;KD44;;P.H.van der Kemp;17
