Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Veghel;KD106;Kiesgerechtigden;;3439
Veghel;KD106;Opkomst;;1236
Veghel;KD106;AantalStembriefjes;;1236
Veghel;KD106;AantalGeldigeStemmen;;1229
Veghel;KD106;AantalBlancoStemmen;;6
Veghel;KD106;;B.R.F.van Vlijmen;1054
Veghel;KD106;;jhr. J.de la Court;158
Zevenbergen;KD62;Kiesgerechtigden;;3113
Zevenbergen;KD62;AantalStembriefjes;;1071
Zevenbergen;KD62;Opkomst;;1070
Zevenbergen;KD62;AantalGeldigeStemmen;;1035
Zevenbergen;KD62;AantalBlancoStemmen;;26
Zevenbergen;KD62;;E.A.M.van der Kun;900
Zevenbergen;KD62;;mr. T.L.M.H. Borret;56
