Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Alkmaar;KD34;Kiesgerechtigden;;4034
Alkmaar;KD34;AantalStembriefjes;;3035
Alkmaar;KD34;Opkomst;;3034
Alkmaar;KD34;AantalGeldigeStemmen;;3016
Alkmaar;KD34;AantalBlancoStemmen;;13
Alkmaar;KD34;;mr. J.L.de Bruyn Kops;1917
Alkmaar;KD34;;W. Bos;1099
Almelo;KD15;AantalGeldigeStemmen;;4690
Almelo;KD15;Kiesgerechtigden;;2494
Almelo;KD15;AantalStembriefjes;;2361
Almelo;KD15;Opkomst;;2360
Almelo;KD15;AantalBlancoStemmen;;26
Almelo;KD15;;mr. J.R. Corver Hooft;1272
Almelo;KD15;;mr. A.H.M.van Berckel;1204
Almelo;KD15;;mr. A.van Laer;1131
Almelo;KD15;;J.E. Stork;1082
Arnhem;KD17;Kiesgerechtigden;;3616
Arnhem;KD17;Opkomst;;3384
Arnhem;KD17;AantalStembriefjes;;3384
Arnhem;KD17;AantalGeldigeStemmen;;3370
Arnhem;KD17;AantalBlancoStemmen;;10
Arnhem;KD17;;W. Rooseboom;1696
Arnhem;KD17;;A.baron van Schimmelpenninck van der Oye;1674
Brielle;KD50;Kiesgerechtigden;;1333
Brielle;KD50;Opkomst;;1088
Brielle;KD50;AantalStembriefjes;;1088
Brielle;KD50;AantalGeldigeStemmen;;1078
Brielle;KD50;AantalBlancoStemmen;;6
Brielle;KD50;;mr. G.J. Goekoop;666
Brielle;KD50;;jhr.mr. A.F.de Savornin Lohman;412
Delft;KD45;AantalGeldigeStemmen;;5945
Delft;KD45;Kiesgerechtigden;;3383
Delft;KD45;Opkomst;;3052
Delft;KD45;AantalStembriefjes;;3052
Delft;KD45;AantalBlancoStemmen;;119
Delft;KD45;;J.C. Fabius;1932
Delft;KD45;;mr. A.H.M.van Berckel;1854
Delft;KD45;;jhr.mr. W.T.C.van Doorn;1123
Delft;KD45;;mr. A.J.W. Farncombe Sanders;1036
Haarlem;KD33;Kiesgerechtigden;;3111
Haarlem;KD33;Opkomst;;1731
Haarlem;KD33;AantalStembriefjes;;1731
Haarlem;KD33;AantalGeldigeStemmen;;1699
Haarlem;KD33;AantalBlancoStemmen;;25
Haarlem;KD33;;W.de Meyier;899
Haarlem;KD33;;jhr.mr. A.J. Rethaan Macaré;798
Middelburg;KD51;Kiesgerechtigden;;2759
Middelburg;KD51;AantalStembriefjes;;2530
Middelburg;KD51;Opkomst;;2528
Middelburg;KD51;AantalGeldigeStemmen;;2504
Middelburg;KD51;AantalBlancoStemmen;;17
Middelburg;KD51;;mr. L.W.C. Keuchenius;1340
Middelburg;KD51;;mr. D.van Eck;1164
's-Gravenhage;KD74;Kiesgerechtigden;;2723
's-Gravenhage;KD74;Opkomst;;2110
's-Gravenhage;KD74;AantalStembriefjes;;2109
's-Gravenhage;KD74;AantalGeldigeStemmen;;2097
's-Gravenhage;KD74;AantalBlancoStemmen;;8
's-Gravenhage;KD74;;mr. W. Wintgens;1113
's-Gravenhage;KD74;;R.A.W. Sluiter;984
Utrecht;KD25;Kiesgerechtigden;;3048
Utrecht;KD25;Opkomst;;2638
Utrecht;KD25;AantalStembriefjes;;2638
Utrecht;KD25;AantalGeldigeStemmen;;2623
Utrecht;KD25;AantalBlancoStemmen;;12
Utrecht;KD25;;J.E.N.baron van Schimmelpenninck van der Oye;1341
Utrecht;KD25;;J.N. Bastert;1282
Zevenbergen;KD62;Kiesgerechtigden;;2155
Zevenbergen;KD62;Opkomst;;1676
Zevenbergen;KD62;AantalStembriefjes;;1676
Zevenbergen;KD62;AantalGeldigeStemmen;;1651
Zevenbergen;KD62;AantalBlancoStemmen;;25
Zevenbergen;KD62;;mr. A.P.R.C.baron van Borch van Verwolde;838
Zevenbergen;KD62;;mr. C.J.A. Heydenrijck;813
Zutphen;KD19;Kiesgerechtigden;;3470
Zutphen;KD19;Opkomst;;3269
Zutphen;KD19;AantalStembriefjes;;3269
Zutphen;KD19;AantalGeldigeStemmen;;3254
Zutphen;KD19;AantalBlancoStemmen;;11
Zutphen;KD19;;jhr.mr. S.M.S.de Ranitz;1655
Zutphen;KD19;;mr. B.J.L.baron van Geer van Jutphaas;1597
