Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Amsterdam;KD72;Kiesgerechtigden;;4602
Amsterdam;KD72;Opkomst;;1725
Amsterdam;KD72;AantalStembriefjes;;1725
Amsterdam;KD72;AantalGeldigeStemmen;;1704
Amsterdam;KD72;AantalBlancoStemmen;;17
Amsterdam;KD72;;mr. G.van Tienhoven;866
Amsterdam;KD72;;mr. A.S.van Nierop;838
Goes;KD53;Kiesgerechtigden;;2623
Goes;KD53;Opkomst;;1934
Goes;KD53;AantalStembriefjes;;1934
Goes;KD53;AantalGeldigeStemmen;;1871
Goes;KD53;AantalBlancoStemmen;;53
Goes;KD53;;J.P. Bredius;1102
Goes;KD53;;dr. P.J.F. Vermeulen;770
Hilversum;KD77;Kiesgerechtigden;;1827
Hilversum;KD77;AantalStembriefjes;;1351
Hilversum;KD77;Opkomst;;1350
Hilversum;KD77;AantalGeldigeStemmen;;1336
Hilversum;KD77;AantalBlancoStemmen;;10
Hilversum;KD77;;A.baron van Schimmelpenninck van der Oye;804
Hilversum;KD77;;mr. L.G. Verwer;532
Rotterdam;KD73;Kiesgerechtigden;;3360
Rotterdam;KD73;Opkomst;;2446
Rotterdam;KD73;AantalStembriefjes;;2446
Rotterdam;KD73;AantalGeldigeStemmen;;2419
Rotterdam;KD73;AantalBlancoStemmen;;22
Rotterdam;KD73;;J.van Stolk Jzn.;1261
Rotterdam;KD73;;mr. A. Kerdijk;1158
Winschoten;KD4;Kiesgerechtigden;;2558
Winschoten;KD4;Opkomst;;1609
Winschoten;KD4;AantalStembriefjes;;1609
Winschoten;KD4;AantalGeldigeStemmen;;1594
Winschoten;KD4;AantalBlancoStemmen;;8
Winschoten;KD4;;mr. J.W.J.baron van Vos van Steenwijk;846
Winschoten;KD4;;D. Mulder Dzn.;748
Zevenbergen;KD62;Kiesgerechtigden;;2044
Zevenbergen;KD62;Opkomst;;1528
Zevenbergen;KD62;AantalStembriefjes;;1528
Zevenbergen;KD62;AantalGeldigeStemmen;;1499
Zevenbergen;KD62;AantalBlancoStemmen;;24
Zevenbergen;KD62;;J.H.A. Diepen;754
Zevenbergen;KD62;;mr. R.van der Werk;745
