Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Assen;KD5;Kiesgerechtigden;;2247
Assen;KD5;Opkomst;;1125
Assen;KD5;AantalStembriefjes;;1125
Assen;KD5;AantalGeldigeStemmen;;1120
Assen;KD5;AantalBlancoStemmen;;2
Assen;KD5;;mr. P.van der Veen;637
Assen;KD5;;mr. L. Oldenhuis Gratama;483
Delft;KD45;Kiesgerechtigden;;2759
Delft;KD45;AantalStembriefjes;;1642
Delft;KD45;Opkomst;;1639
Delft;KD45;AantalGeldigeStemmen;;1630
Delft;KD45;AantalBlancoStemmen;;6
Delft;KD45;;mr. W. Wintgens;1139
Delft;KD45;;jhr.mr. W.T. Gevers Deynoot;491
Utrecht;KD25;Kiesgerechtigden;;2944
Utrecht;KD25;Opkomst;;1236
Utrecht;KD25;AantalStembriefjes;;1236
Utrecht;KD25;AantalGeldigeStemmen;;1214
Utrecht;KD25;AantalBlancoStemmen;;15
Utrecht;KD25;;mr. N.P.J. Kien;640
Utrecht;KD25;;mr. W.R. Boer;574
Zwolle;KD12;Kiesgerechtigden;;2701
Zwolle;KD12;Opkomst;;1771
Zwolle;KD12;AantalStembriefjes;;1770
Zwolle;KD12;AantalGeldigeStemmen;;1740
Zwolle;KD12;AantalBlancoStemmen;;22
Zwolle;KD12;;jhr.mr. H.A. Wttewael van Stoetwegen;898
Zwolle;KD12;;T.J. Stieltjes;842
