Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Amersfoort;KD26;Kiesgerechtigden;;2945
Amersfoort;KD26;Opkomst;;2342
Amersfoort;KD26;AantalStembriefjes;;2342
Amersfoort;KD26;AantalGeldigeStemmen;;2335
Amersfoort;KD26;AantalBlancoStemmen;;5
Amersfoort;KD26;;mr. Æ.baron van Mackay 2;1443
Amersfoort;KD26;;mr. H.J.H.baron van Boetzelaer van Oosterhout;890
Rotterdam;KD73;Kiesgerechtigden;;8373
Rotterdam;KD73;AantalStembriefjes;;5182
Rotterdam;KD73;Opkomst;;5181
Rotterdam;KD73;AantalGeldigeStemmen;;5155
Rotterdam;KD73;AantalBlancoStemmen;;23
Rotterdam;KD73;;G.H. Hintzen;3261
Rotterdam;KD73;;L.W. Jansen;945
Rotterdam;KD73;;J.M. Voorhoeve;924
