Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Alkmaar;KD34;Kiesgerechtigden;;3514
Alkmaar;KD34;Opkomst;;2795
Alkmaar;KD34;AantalStembriefjes;;2795
Alkmaar;KD34;AantalGeldigeStemmen;;2791
Alkmaar;KD34;AantalBlancoStemmen;;3
Alkmaar;KD34;;mr. J.L.de Bruyn Kops;1729
Alkmaar;KD34;;jhr. F.de Casembroot;862
Alkmaar;KD34;;jhr.mr. A.F.de Savornin Lohman;168
Almelo;KD15;Kiesgerechtigden;;2281
Almelo;KD15;Opkomst;;2019
Almelo;KD15;AantalStembriefjes;;2019
Almelo;KD15;AantalGeldigeStemmen;;2006
Almelo;KD15;AantalBlancoStemmen;;6
Almelo;KD15;;mr. J.R. Corver Hooft;858
Almelo;KD15;;mr. S.J.baron van Pallandt;695
Almelo;KD15;;mr. B. Brouwer;235
Almelo;KD15;;mr. B.J. Gratama;206
Amersfoort;KD26;Kiesgerechtigden;;3059
Amersfoort;KD26;AantalStembriefjes;;2002
Amersfoort;KD26;Opkomst;;2001
Amersfoort;KD26;AantalGeldigeStemmen;;1981
Amersfoort;KD26;AantalBlancoStemmen;;15
Amersfoort;KD26;;jhr.mr. M.M.van Asch van Wijck;1451
Amersfoort;KD26;;mr. H. Verloren van Themaat;493
Amsterdam;KD72;AantalGeldigeStemmen;;7261
Amsterdam;KD72;Kiesgerechtigden;;4178
Amsterdam;KD72;Opkomst;;2432
Amsterdam;KD72;AantalStembriefjes;;2432
Amsterdam;KD72;AantalBlancoStemmen;;29
Amsterdam;KD72;;mr. M.H. Godefroi;1880
Amsterdam;KD72;;mr.dr. G.de Vries;1410
Amsterdam;KD72;;mr. S.A. Vening Meinesz;1354
Amsterdam;KD72;;jhr.mr. G.C.J.van Reenen;926
Amsterdam;KD72;;mr.dr. E.H.s' Jacob;863
Amsterdam;KD72;;mr. J.W. Gefken;514
Amsterdam;KD72;;W.von Wrangel auf Lindenberg;142
Amsterdam;KD72;;mr. L.W.C. Keuchenius;139
Appingedam;KD3;Kiesgerechtigden;;3064
Appingedam;KD3;Opkomst;;1690
Appingedam;KD3;AantalStembriefjes;;1690
Appingedam;KD3;AantalGeldigeStemmen;;1671
Appingedam;KD3;AantalBlancoStemmen;;11
Appingedam;KD3;;mr. D.de Ruiter Zijlker;1152
Appingedam;KD3;;mr. A.J. Thomassen à Thuessink van der Hoop;489
Arnhem;KD17;Kiesgerechtigden;;3094
Arnhem;KD17;Opkomst;;2326
Arnhem;KD17;AantalStembriefjes;;2326
Arnhem;KD17;AantalGeldigeStemmen;;2317
Arnhem;KD17;AantalBlancoStemmen;;2
Arnhem;KD17;;mr. J.H. Geertsema;1025
Arnhem;KD17;;jhr.mr. A.F.de Savornin Lohman;988
Arnhem;KD17;;mr. J.P.J.A.graaf van Zuylen van Nijevelt;285
Assen;KD5;Kiesgerechtigden;;2499
Assen;KD5;Opkomst;;1123
Assen;KD5;AantalStembriefjes;;1123
Assen;KD5;AantalGeldigeStemmen;;1117
Assen;KD5;AantalBlancoStemmen;;3
Assen;KD5;;mr. H.J. Smidt;824
Assen;KD5;;A. Brummelkamp sr.;255
Boxmeer;KD75;Kiesgerechtigden;;2534
Boxmeer;KD75;Opkomst;;1186
Boxmeer;KD75;AantalStembriefjes;;1186
Boxmeer;KD75;AantalGeldigeStemmen;;1128
