Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Tiel;KD71;Kiesgerechtigden;;2840
Tiel;KD71;AantalStembriefjes;;2110
Tiel;KD71;Opkomst;;2109
Tiel;KD71;AantalGeldigeStemmen;;2063
Tiel;KD71;AantalBlancoStemmen;;18
Tiel;KD71;;mr. C.T.graaf van Lynden van Sandenburg;1052
Tiel;KD71;;T.J. Stieltjes;873
Tiel;KD71;;J.J. Hasselman;80
Tiel;KD71;;W.J. Knoop;32
