Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Dordrecht;KD42;Kiesgerechtigden;;2236
Dordrecht;KD42;Opkomst;;1078
Dordrecht;KD42;AantalStembriefjes;;1078
Dordrecht;KD42;AantalGeldigeStemmen;;1064
Dordrecht;KD42;AantalBlancoStemmen;;13
Dordrecht;KD42;;mr. G.M.van der Linden;740
Dordrecht;KD42;;jhr.mr. A.F.de Savornin Lohman;266
Dordrecht;KD42;;P.R.van der Made;25
Rotterdam;KD73;Kiesgerechtigden;;3360
Rotterdam;KD73;Opkomst;;1220
Rotterdam;KD73;AantalStembriefjes;;1220
Rotterdam;KD73;AantalGeldigeStemmen;;1202
Rotterdam;KD73;AantalBlancoStemmen;;17
Rotterdam;KD73;;mr. J.van Gennep;719
Rotterdam;KD73;;mr. W.H. Jansen;280
Rotterdam;KD73;;jhr.mr. A.F.de Savornin Lohman;199
