Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Amsterdam III;KD30;Kiesgerechtigden;;7735
Amsterdam III;KD30;Opkomst;;5041
Amsterdam III;KD30;AantalStembriefjes;;5041
Amsterdam III;KD30;AantalGeldigeStemmen;;4977
Amsterdam III;KD30;AantalBlancoStemmen;;64
Amsterdam III;KD30;;mr. P.J. Troelstra;2476
Amsterdam III;KD30;;J.W. Ijzerman;1165
Amsterdam III;KD30;;mr. A. Anema;959
Amsterdam III;KD30;;H. Groenewegen;154
Amsterdam III;KD30;;S. Sinnema;122
Amsterdam III;KD30;;B.H. Heldt;101
