 
                                                                                                                                                                                                                                                                
 
ticker            Model              evtdate    evttime      abret
XRX       Market-Adjusted Model    20NOV2019        7      -0.00242
XRX       Market-Adjusted Model    20NOV2019        8       0.00004
XRX       Market-Adjusted Model    20NOV2019        9      -0.00346
XRX       Market-Adjusted Model    20NOV2019       10      -0.01519
PNW       Market-Adjusted Model    05DEC2019      -10       0.00935
PNW       Market-Adjusted Model    05DEC2019       -9       0.00123
PNW       Market-Adjusted Model    05DEC2019       -8      -0.00326
PNW       Market-Adjusted Model    05DEC2019       -7      -0.01614
PNW       Market-Adjusted Model    05DEC2019       -6       0.00843
PNW       Market-Adjusted Model    05DEC2019       -5      -0.00572
PNW       Market-Adjusted Model    05DEC2019       -4       0.00414
PNW       Market-Adjusted Model    05DEC2019       -3      -0.01014
PNW       Market-Adjusted Model    05DEC2019       -2       0.01038
PNW       Market-Adjusted Model    05DEC2019       -1       0.00392
PNW       Market-Adjusted Model    05DEC2019        0      -0.00540
PNW       Market-Adjusted Model    05DEC2019        1      -0.01367
PNW       Market-Adjusted Model    05DEC2019        2      -0.00431
PNW       Market-Adjusted Model    05DEC2019        3      -0.00324
PNW       Market-Adjusted Model    05DEC2019        4      -0.00017
PNW       Market-Adjusted Model    05DEC2019        5      -0.00556
PNW       Market-Adjusted Model    05DEC2019        6       0.00490
PNW       Market-Adjusted Model    05DEC2019        7       0.00948
PNW       Market-Adjusted Model    05DEC2019        .      -0.00107
PNW       Market-Adjusted Model    05DEC2019        .       0.01150
PNW       Market-Adjusted Model    05DEC2019        .       0.00331
PNW       Market-Adjusted Model    20NOV2019      -10       0.00474
PNW       Market-Adjusted Model    20NOV2019       -9      -0.04060
PNW       Market-Adjusted Model    20NOV2019       -8      -0.01944
PNW       Market-Adjusted Model    20NOV2019       -7      -0.01275
PNW       Market-Adjusted Model    20NOV2019       -6       0.00398
PNW       Market-Adjusted Model    20NOV2019       -5       0.00369
PNW       Market-Adjusted Model    20NOV2019       -4       0.01146
PNW       Market-Adjusted Model    20NOV2019       -3      -0.00033
PNW       Market-Adjusted Model    20NOV2019       -2      -0.00951
PNW       Market-Adjusted Model    20NOV2019       -1      -0.00084
PNW       Market-Adjusted Model    20NOV2019        0       0.00935
PNW       Market-Adjusted Model    20NOV2019        1       0.00123
PNW       Market-Adjusted Model    20NOV2019        2      -0.00326
PNW       Market-Adjusted Model    20NOV2019        3      -0.01614
PNW       Market-Adjusted Model    20NOV2019        4       0.00843
PNW       Market-Adjusted Model    20NOV2019        5      -0.00572
PNW       Market-Adjusted Model    20NOV2019        6       0.00414
PNW       Market-Adjusted Model    20NOV2019        7      -0.01014
PNW       Market-Adjusted Model    20NOV2019        8       0.01038
PNW       Market-Adjusted Model    20NOV2019        9       0.00392
PNW       Market-Adjusted Model    20NOV2019       10      -0.00540
APD       Market-Adjusted Model    05DEC2019      -10      -0.01089
APD       Market-Adjusted Model    05DEC2019       -9       0.00025
APD       Market-Adjusted Model    05DEC2019       -8      -0.00263
APD       Market-Adjusted Model    05DEC2019       -7      -0.02130
APD       Market-Adjusted Model    05DEC2019       -6      -0.00341
APD       Market-Adjusted Model    05DEC2019       -5       0.00254
APD       Market-Adjusted Model    05DEC2019       -4       0.00537
APD       Market-Adjusted Model    05DEC2019       -3      -0.01405
APD       Market-Adjusted Model    05DEC2019       -2       0.00099
APD       Market-Adjusted Model    05DEC2019       -1      -0.00942
APD       Market-Adjusted Model    05DEC2019        0       0.00536
APD       Market-Adjusted Model    05DEC2019        1      -0.00236
APD       Market-Adjusted Model    05DEC2019        2      -0.00198
APD       Market-Adjusted Model    05DEC2019        3      -0.00499
APD       Market-Adjusted Model    05DEC2019        4      -0.00287
APD       Market-Adjusted Model    05DEC2019        5       0.00357
APD       Market-Adjusted Model    05DEC2019        6      -0.00691
APD       Market-Adjusted Model    05DEC2019        7       0.00857
APD       Market-Adjusted Model    05DEC2019        .       0.00392
APD       Market-Adjusted Model    05DEC2019        .      -0.01018
APD       Market-Adjusted Model    05DEC2019        .      -0.00458
APD       Market-Adjusted Model    20NOV2019      -10       0.01092
APD       Market-Adjusted Model    20NOV2019       -9       0.03603
APD       Market-Adjusted Model    20NOV2019       -8       0.02448
APD       Market-Adjusted Model    20NOV2019       -7       0.00680
APD       Market-Adjusted Model    20NOV2019       -6       0.00676
APD       Market-Adjusted Model    20NOV2019       -5       0.00199
APD       Market-Adjusted Model    20NOV2019       -4       0.00202
APD       Market-Adjusted Model    20NOV2019       -3       0.00404
APD       Market-Adjusted Model    20NOV2019       -2       0.00086
APD       Market-Adjusted Model    20NOV2019       -1       0.00024
APD       Market-Adjusted Model    20NOV2019        0      -0.01089
APD       Market-Adjusted Model    20NOV2019        1       0.00025
APD       Market-Adjusted Model    20NOV2019        2      -0.00263
APD       Market-Adjusted Model    20NOV2019        3      -0.02130
APD       Market-Adjusted Model    20NOV2019        4      -0.00341
APD       Market-Adjusted Model    20NOV2019        5       0.00254
APD       Market-Adjusted Model    20NOV2019        6       0.00537
APD       Market-Adjusted Model    20NOV2019        7      -0.01405
APD       Market-Adjusted Model    20NOV2019        8       0.00099
APD       Market-Adjusted Model    20NOV2019        9      -0.00942
APD       Market-Adjusted Model    20NOV2019       10       0.00536
VNO       Market-Adjusted Model    05DEC2019      -10      -0.00559
VNO       Market-Adjusted Model    05DEC2019       -9      -0.01023
VNO       Market-Adjusted Model    05DEC2019       -8      -0.00452
VNO       Market-Adjusted Model    05DEC2019       -7      -0.00165
VNO       Market-Adjusted Model    05DEC2019       -6       0.01078
VNO       Market-Adjusted Model    05DEC2019       -5      -0.00306
VNO       Market-Adjusted Model    05DEC2019       -4       0.00569
VNO       Market-Adjusted Model    05DEC2019       -3      -0.00995
VNO       Market-Adjusted Model    05DEC2019       -2       0.02010
VNO       Market-Adjusted Model    05DEC2019       -1      -0.00109
VNO       Market-Adjusted Model    05DEC2019        0      -0.00292
VNO       Market-Adjusted Model    05DEC2019        1       0.00805
VNO       Market-Adjusted Model    05DEC2019        2       0.00918
VNO       Market-Adjusted Model    05DEC2019        3       0.01134
VNO       Market-Adjusted Model    05DEC2019        4      -0.01847
VNO       Market-Adjusted Model    05DEC2019        5      -0.01776
VNO       Market-Adjusted Model    05DEC2019        6       0.00377
VNO       Market-Adjusted Model    05DEC2019        7      -0.00563
VNO       Market-Adjusted Model    05DEC2019        .      -0.00703
VNO       Market-Adjusted Model    05DEC2019        .       0.01889
VNO       Market-Adjusted Model    05DEC2019        .       0.01179
VNO       Market-Adjusted Model    20NOV2019      -10      -0.00109
VNO       Market-Adjusted Model    20NOV2019       -9      -0.00861
VNO       Market-Adjusted Model    20NOV2019       -8       0.00947
VNO       Market-Adjusted Model    20NOV2019       -7       0.00078
VNO       Market-Adjusted Model    20NOV2019       -6      -0.01719
VNO       Market-Adjusted Model    20NOV2019       -5       0.00278
VNO       Market-Adjusted Model    20NOV2019       -4       0.00695
VNO       Market-Adjusted Model    20NOV2019       -3      -0.00715
VNO       Market-Adjusted Model    20NOV2019       -2      -0.00485
VNO       Market-Adjusted Model    20NOV2019       -1      -0.00886
VNO       Market-Adjusted Model    20NOV2019        0      -0.00559
VNO       Market-Adjusted Model    20NOV2019        1      -0.01023
VNO       Market-Adjusted Model    20NOV2019        2      -0.00452
VNO       Market-Adjusted Model    20NOV2019        3      -0.00165
VNO       Market-Adjusted Model    20NOV2019        4       0.01078
VNO       Market-Adjusted Model    20NOV2019        5      -0.00306
VNO       Market-Adjusted Model    20NOV2019        6       0.00569
VNO       Market-Adjusted Model    20NOV2019        7      -0.00995
VNO       Market-Adjusted Model    20NOV2019        8       0.02010
VNO       Market-Adjusted Model    20NOV2019        9      -0.00109
VNO       Market-Adjusted Model    20NOV2019       10      -0.00292
HES       Market-Adjusted Model    05DEC2019      -10       0.01729
HES       Market-Adjusted Model    05DEC2019       -9      -0.00194
HES       Market-Adjusted Model    05DEC2019       -8      -0.04042
HES       Market-Adjusted Model    05DEC2019       -7      -0.00336
HES       Market-Adjusted Model    05DEC2019       -6      -0.02018
HES       Market-Adjusted Model    05DEC2019       -5      -0.01154
HES       Market-Adjusted Model    05DEC2019       -4      -0.01218
HES       Market-Adjusted Model    05DEC2019       -3      -0.00587
HES       Market-Adjusted Model    05DEC2019       -2      -0.01635
HES       Market-Adjusted Model    05DEC2019       -1       0.01785
HES       Market-Adjusted Model    05DEC2019        0      -0.00578
HES       Market-Adjusted Model    05DEC2019        1       0.01232
HES       Market-Adjusted Model    05DEC2019        2      -0.00496
HES       Market-Adjusted Model    05DEC2019        3       0.00041
HES       Market-Adjusted Model    05DEC2019        4      -0.00498
HES       Market-Adjusted Model    05DEC2019        5       0.01983
HES       Market-Adjusted Model    05DEC2019        6      -0.01255
HES       Market-Adjusted Model    05DEC2019        7       0.02912
HES       Market-Adjusted Model    05DEC2019        .       0.00001
HES       Market-Adjusted Model    05DEC2019        .       0.00646
HES       Market-Adjusted Model    05DEC2019        .      -0.02543
HES       Market-Adjusted Model    20NOV2019      -10      -0.01448
HES       Market-Adjusted Model    20NOV2019       -9       0.02629
HES       Market-Adjusted Model    20NOV2019       -8       0.01267
HES       Market-Adjusted Model    20NOV2019       -7       0.01506
HES       Market-Adjusted Model    20NOV2019       -6      -0.01526
HES       Market-Adjusted Model    20NOV2019       -5      -0.03971
HES       Market-Adjusted Model    20NOV2019       -4      -0.01700
HES       Market-Adjusted Model    20NOV2019       -3      -0.00495
HES       Market-Adjusted Model    20NOV2019       -2      -0.01834
HES       Market-Adjusted Model    20NOV2019       -1      -0.00909
HES       Market-Adjusted Model    20NOV2019        0       0.01729
HES       Market-Adjusted Model    20NOV2019        1      -0.00194
HES       Market-Adjusted Model    20NOV2019        2      -0.04042
HES       Market-Adjusted Model    20NOV2019        3      -0.00336
HES       Market-Adjusted Model    20NOV2019        4      -0.02018
HES       Market-Adjusted Model    20NOV2019        5      -0.01154
HES       Market-Adjusted Model    20NOV2019        6      -0.01218
HES       Market-Adjusted Model    20NOV2019        7      -0.00587
HES       Market-Adjusted Model    20NOV2019        8      -0.01635
HES       Market-Adjusted Model    20NOV2019        9       0.01785
HES       Market-Adjusted Model    20NOV2019       10      -0.00578
ALK       Market-Adjusted Model    05DEC2019      -10      -0.02002
ALK       Market-Adjusted Model    05DEC2019       -9      -0.00509
ALK       Market-Adjusted Model    05DEC2019       -8       0.00872
ALK       Market-Adjusted Model    05DEC2019       -7      -0.00882
ALK       Market-Adjusted Model    05DEC2019       -6       0.00749
ALK       Market-Adjusted Model    05DEC2019       -5      -0.00835
ALK       Market-Adjusted Model    05DEC2019       -4       0.00183
ALK       Market-Adjusted Model    05DEC2019       -3      -0.00441
ALK       Market-Adjusted Model    05DEC2019       -2      -0.01549
ALK       Market-Adjusted Model    05DEC2019       -1      -0.00142
ALK       Market-Adjusted Model    05DEC2019        0       0.00416
ALK       Market-Adjusted Model    05DEC2019        1       0.00614
ALK       Market-Adjusted Model    05DEC2019        2      -0.00160
ALK       Market-Adjusted Model    05DEC2019        3      -0.01030
ALK       Market-Adjusted Model    05DEC2019        4      -0.01031
ALK       Market-Adjusted Model    05DEC2019        5       0.00516
ALK       Market-Adjusted Model    05DEC2019        6      -0.00391
ALK       Market-Adjusted Model    05DEC2019        7       0.01612
ALK       Market-Adjusted Model    05DEC2019        .       0.01429
ALK       Market-Adjusted Model    05DEC2019        .      -0.01427
ALK       Market-Adjusted Model    05DEC2019        .      -0.00191
ALK       Market-Adjusted Model    20NOV2019      -10       0.00030
ALK       Market-Adjusted Model    20NOV2019       -9      -0.01003
ALK       Market-Adjusted Model    20NOV2019       -8       0.00022
ALK       Market-Adjusted Model    20NOV2019       -7       0.01224
ALK       Market-Adjusted Model    20NOV2019       -6      -0.01654
ALK       Market-Adjusted Model    20NOV2019       -5      -0.00468
ALK       Market-Adjusted Model    20NOV2019       -4      -0.00232
ALK       Market-Adjusted Model    20NOV2019       -3      -0.00789
ALK       Market-Adjusted Model    20NOV2019       -2       0.00017
ALK       Market-Adjusted Model    20NOV2019       -1      -0.00012
ALK       Market-Adjusted Model    20NOV2019        0      -0.02002
ALK       Market-Adjusted Model    20NOV2019        1      -0.00509
ALK       Market-Adjusted Model    20NOV2019        2       0.00872
ALK       Market-Adjusted Model    20NOV2019        3      -0.00882
ALK       Market-Adjusted Model    20NOV2019        4       0.00749
ALK       Market-Adjusted Model    20NOV2019        5      -0.00835
ALK       Market-Adjusted Model    20NOV2019        6       0.00183
ALK       Market-Adjusted Model    20NOV2019        7      -0.00441
ALK       Market-Adjusted Model    20NOV2019        8      -0.01549
ALK       Market-Adjusted Model    20NOV2019        9      -0.00142
ALK       Market-Adjusted Model    20NOV2019       10       0.00416
OMC       Market-Adjusted Model    05DEC2019      -10      -0.01163
OMC       Market-Adjusted Model    05DEC2019       -9       0.00715
OMC       Market-Adjusted Model    05DEC2019       -8      -0.00246
OMC       Market-Adjusted Model    05DEC2019       -7       0.00306
OMC       Market-Adjusted Model    05DEC2019       -6       0.00260
OMC       Market-Adjusted Model    05DEC2019       -5       0.00412
OMC       Market-Adjusted Model    05DEC2019       -4      -0.00174
OMC       Market-Adjusted Model    05DEC2019       -3       0.00725
OMC       Market-Adjusted Model    05DEC2019       -2      -0.00594
OMC       Market-Adjusted Model    05DEC2019       -1      -0.00275
OMC       Market-Adjusted Model    05DEC2019        0       0.00702
OMC       Market-Adjusted Model    05DEC2019        1      -0.00097
OMC       Market-Adjusted Model    05DEC2019        2       0.00461
OMC       Market-Adjusted Model    05DEC2019        3       0.00485
OMC       Market-Adjusted Model    05DEC2019        4       0.00273
OMC       Market-Adjusted Model    05DEC2019        5       0.00812
OMC       Market-Adjusted Model    05DEC2019        6      -0.00208
OMC       Market-Adjusted Model    05DEC2019        7      -0.01076
OMC       Market-Adjusted Model    05DEC2019        .      -0.01036
OMC       Market-Adjusted Model    05DEC2019        .      -0.01352
OMC       Market-Adjusted Model    05DEC2019        .       0.00039
OMC       Market-Adjusted Model    20NOV2019      -10      -0.00323
OMC       Market-Adjusted Model    20NOV2019       -9       0.01596
OMC       Market-Adjusted Model    20NOV2019       -8       0.00307
OMC       Market-Adjusted Model    20NOV2019       -7      -0.01871
OMC       Market-Adjusted Model    20NOV2019       -6      -0.00191
OMC       Market-Adjusted Model    20NOV2019       -5      -0.01407
OMC       Market-Adjusted Model    20NOV2019       -4       0.00655
OMC       Market-Adjusted Model    20NOV2019       -3      -0.00453
OMC       Market-Adjusted Model    20NOV2019       -2      -0.00724
OMC       Market-Adjusted Model    20NOV2019       -1       0.00524
OMC       Market-Adjusted Model    20NOV2019        0      -0.01163
OMC       Market-Adjusted Model    20NOV2019        1       0.00715
OMC       Market-Adjusted Model    20NOV2019        2      -0.00246
OMC       Market-Adjusted Model    20NOV2019        3       0.00306
OMC       Market-Adjusted Model    20NOV2019        4       0.00260
OMC       Market-Adjusted Model    20NOV2019        5       0.00412
OMC       Market-Adjusted Model    20NOV2019        6      -0.00174
OMC       Market-Adjusted Model    20NOV2019        7       0.00725
OMC       Market-Adjusted Model    20NOV2019        8      -0.00594
OMC       Market-Adjusted Model    20NOV2019        9      -0.00275
OMC       Market-Adjusted Model    20NOV2019       10       0.00702
FLS       Market-Adjusted Model    05DEC2019      -10       0.00449
FLS       Market-Adjusted Model    05DEC2019       -9       0.00611
FLS       Market-Adjusted Model    05DEC2019       -8       0.00332
FLS       Market-Adjusted Model    05DEC2019       -7      -0.00146
FLS       Market-Adjusted Model    05DEC2019       -6      -0.00440
FLS       Market-Adjusted Model    05DEC2019       -5      -0.00569
FLS       Market-Adjusted Model    05DEC2019       -4      -0.00036
FLS       Market-Adjusted Model    05DEC2019       -3       0.00391
FLS       Market-Adjusted Model    05DEC2019       -2      -0.02607
FLS       Market-Adjusted Model    05DEC2019       -1      -0.01887
FLS       Market-Adjusted Model    05DEC2019        0       0.01202
FLS       Market-Adjusted Model    05DEC2019        1       0.01748
FLS       Market-Adjusted Model    05DEC2019        2      -0.00321
FLS       Market-Adjusted Model    05DEC2019        3       0.00261
FLS       Market-Adjusted Model    05DEC2019        4       0.00297
FLS       Market-Adjusted Model    05DEC2019        5       0.01913
FLS       Market-Adjusted Model    05DEC2019        6      -0.02337
FLS       Market-Adjusted Model    05DEC2019        7      -0.00830
FLS       Market-Adjusted Model    05DEC2019        .      -0.01037
FLS       Market-Adjusted Model    05DEC2019        .       0.01566
FLS       Market-Adjusted Model    05DEC2019        .       0.00406
FLS       Market-Adjusted Model    20NOV2019      -10       0.00327
FLS       Market-Adjusted Model    20NOV2019       -9      -0.01616
FLS       Market-Adjusted Model    20NOV2019       -8       0.00011
FLS       Market-Adjusted Model    20NOV2019       -7      -0.00040
FLS       Market-Adjusted Model    20NOV2019       -6      -0.00268
FLS       Market-Adjusted Model    20NOV2019       -5      -0.01180
FLS       Market-Adjusted Model    20NOV2019       -4       0.00420
FLS       Market-Adjusted Model    20NOV2019       -3      -0.00314
FLS       Market-Adjusted Model    20NOV2019       -2      -0.00968
FLS       Market-Adjusted Model    20NOV2019       -1      -0.00522
FLS       Market-Adjusted Model    20NOV2019        0       0.00449
FLS       Market-Adjusted Model    20NOV2019        1       0.00611
FLS       Market-Adjusted Model    20NOV2019        2       0.00332
FLS       Market-Adjusted Model    20NOV2019        3      -0.00146
FLS       Market-Adjusted Model    20NOV2019        4      -0.00440
FLS       Market-Adjusted Model    20NOV2019        5      -0.00569
FLS       Market-Adjusted Model    20NOV2019        6      -0.00036
FLS       Market-Adjusted Model    20NOV2019        7       0.00391
FLS       Market-Adjusted Model    20NOV2019        8      -0.02607
FLS       Market-Adjusted Model    20NOV2019        9      -0.01887
FLS       Market-Adjusted Model    20NOV2019       10       0.01202
HP        Market-Adjusted Model    05DEC2019      -10       0.00272
HP        Market-Adjusted Model    05DEC2019       -9       0.01436
HP        Market-Adjusted Model    05DEC2019       -8       0.00037
HP        Market-Adjusted Model    05DEC2019       -7       0.01433
HP        Market-Adjusted Model    05DEC2019       -6      -0.05081
HP        Market-Adjusted Model    05DEC2019       -5       0.06112
HP        Market-Adjusted Model    05DEC2019       -4      -0.01885
HP        Market-Adjusted Model    05DEC2019       -3       0.01546
HP        Market-Adjusted Model    05DEC2019       -2      -0.02890
HP        Market-Adjusted Model    05DEC2019       -1       0.01816
HP        Market-Adjusted Model    05DEC2019        0      -0.01866
HP        Market-Adjusted Model    05DEC2019        1       0.04363
HP        Market-Adjusted Model    05DEC2019        2       0.00446
HP        Market-Adjusted Model    05DEC2019        3       0.00171
HP        Market-Adjusted Model    05DEC2019        4       0.01724
HP        Market-Adjusted Model    05DEC2019        5       0.01546
HP        Market-Adjusted Model    05DEC2019        6      -0.01197
HP        Market-Adjusted Model    05DEC2019        7       0.00013
HP        Market-Adjusted Model    05DEC2019        .       0.01119
HP        Market-Adjusted Model    05DEC2019        .       0.00788
HP        Market-Adjusted Model    05DEC2019        .      -0.00113
HP        Market-Adjusted Model    20NOV2019      -10      -0.02342
HP        Market-Adjusted Model    20NOV2019       -9       0.02083
HP        Market-Adjusted Model    20NOV2019       -8      -0.00414
HP        Market-Adjusted Model    20NOV2019       -7       0.01239
HP        Market-Adjusted Model    20NOV2019       -6      -0.02570
HP        Market-Adjusted Model    20NOV2019       -5      -0.02430
HP        Market-Adjusted Model    20NOV2019       -4       0.00179
HP        Market-Adjusted Model    20NOV2019       -3       0.02408
HP        Market-Adjusted Model    20NOV2019       -2      -0.04267
HP        Market-Adjusted Model    20NOV2019       -1      -0.01133
HP        Market-Adjusted Model    20NOV2019        0       0.00272
HP        Market-Adjusted Model    20NOV2019        1       0.01436
HP        Market-Adjusted Model    20NOV2019        2       0.00037
HP        Market-Adjusted Model    20NOV2019        3       0.01433
HP        Market-Adjusted Model    20NOV2019        4      -0.05081
HP        Market-Adjusted Model    20NOV2019        5       0.06112
HP        Market-Adjusted Model    20NOV2019        6      -0.01885
HP        Market-Adjusted Model    20NOV2019        7       0.01546
HP        Market-Adjusted Model    20NOV2019        8      -0.02890
HP        Market-Adjusted Model    20NOV2019        9       0.01816
HP        Market-Adjusted Model    20NOV2019       10      -0.01866
HFC       Market-Adjusted Model    05DEC2019      -10       0.00439
HFC       Market-Adjusted Model    05DEC2019       -9       0.02006
HFC       Market-Adjusted Model    05DEC2019       -8      -0.00940
HFC       Market-Adjusted Model    05DEC2019       -7      -0.00209
HFC       Market-Adjusted Model    05DEC2019       -6      -0.00852
HFC       Market-Adjusted Model    05DEC2019       -5      -0.01111
HFC       Market-Adjusted Model    05DEC2019       -4      -0.01020
HFC       Market-Adjusted Model    05DEC2019       -3       0.03133
HFC       Market-Adjusted Model    05DEC2019       -2      -0.00978
HFC       Market-Adjusted Model    05DEC2019       -1      -0.02690
HFC       Market-Adjusted Model    05DEC2019        0      -0.00196
HFC       Market-Adjusted Model    05DEC2019        1      -0.00543
HFC       Market-Adjusted Model    05DEC2019        2      -0.02681
HFC       Market-Adjusted Model    05DEC2019        3       0.01389
HFC       Market-Adjusted Model    05DEC2019        4      -0.00207
HFC       Market-Adjusted Model    05DEC2019        5      -0.00208
HFC       Market-Adjusted Model    05DEC2019        6      -0.00492
HFC       Market-Adjusted Model    05DEC2019        7       0.01943
HFC       Market-Adjusted Model    05DEC2019        .      -0.01407
HFC       Market-Adjusted Model    05DEC2019        .      -0.00114
HFC       Market-Adjusted Model    05DEC2019        .      -0.00122
HFC       Market-Adjusted Model    20NOV2019      -10      -0.04375
HFC       Market-Adjusted Model    20NOV2019       -9       0.02085
HFC       Market-Adjusted Model    20NOV2019       -8      -0.01412
HFC       Market-Adjusted Model    20NOV2019       -7       0.00166
HFC       Market-Adjusted Model    20NOV2019       -6      -0.01441
HFC       Market-Adjusted Model    20NOV2019       -5      -0.01607
HFC       Market-Adjusted Model    20NOV2019       -4       0.02377
HFC       Market-Adjusted Model    20NOV2019       -3      -0.03233
HFC       Market-Adjusted Model    20NOV2019       -2       0.02582
HFC       Market-Adjusted Model    20NOV2019       -1      -0.03012
HFC       Market-Adjusted Model    20NOV2019        0       0.00439
HFC       Market-Adjusted Model    20NOV2019        1       0.02006
HFC       Market-Adjusted Model    20NOV2019        2      -0.00940
HFC       Market-Adjusted Model    20NOV2019        3      -0.00209
HFC       Market-Adjusted Model    20NOV2019        4      -0.00852
HFC       Market-Adjusted Model    20NOV2019        5      -0.01111
HFC       Market-Adjusted Model    20NOV2019        6      -0.01020
HFC       Market-Adjusted Model    20NOV2019        7       0.03133
HFC       Market-Adjusted Model    20NOV2019        8      -0.00978
HFC       Market-Adjusted Model    20NOV2019        9      -0.02690
HFC       Market-Adjusted Model    20NOV2019       10      -0.00196
HRL       Market-Adjusted Model    05DEC2019      -10       0.00581
HRL       Market-Adjusted Model    05DEC2019       -9      -0.00169
HRL       Market-Adjusted Model    05DEC2019       -8      -0.01206
HRL       Market-Adjusted Model    05DEC2019       -7       0.00138
HRL       Market-Adjusted Model    05DEC2019       -6       0.03359
HRL       Market-Adjusted Model    05DEC2019       -5       0.00909
HRL       Market-Adjusted Model    05DEC2019       -4      -0.00366
HRL       Market-Adjusted Model    05DEC2019       -3       0.02884
HRL       Market-Adjusted Model    05DEC2019       -2       0.00895
HRL       Market-Adjusted Model    05DEC2019       -1      -0.01244
HRL       Market-Adjusted Model    05DEC2019        0       0.00990
HRL       Market-Adjusted Model    05DEC2019        1      -0.01835
HRL       Market-Adjusted Model    05DEC2019        2       0.00367
HRL       Market-Adjusted Model    05DEC2019        3       0.00602
HRL       Market-Adjusted Model    05DEC2019        4      -0.00375
HRL       Market-Adjusted Model    05DEC2019        5      -0.01368
HRL       Market-Adjusted Model    05DEC2019        6      -0.00969
HRL       Market-Adjusted Model    05DEC2019        7      -0.00814
HRL       Market-Adjusted Model    05DEC2019        .      -0.00932
HRL       Market-Adjusted Model    05DEC2019        .      -0.00137
HRL       Market-Adjusted Model    05DEC2019        .       0.00193
HRL       Market-Adjusted Model    20NOV2019      -10      -0.00004
HRL       Market-Adjusted Model    20NOV2019       -9      -0.00314
HRL       Market-Adjusted Model    20NOV2019       -8       0.00501
HRL       Market-Adjusted Model    20NOV2019       -7      -0.00650
HRL       Market-Adjusted Model    20NOV2019       -6       0.00218
HRL       Market-Adjusted Model    20NOV2019       -5       0.00870
HRL       Market-Adjusted Model    20NOV2019       -4       0.00114
HRL       Market-Adjusted Model    20NOV2019       -3      -0.00391
HRL       Market-Adjusted Model    20NOV2019       -2       0.00753
HRL       Market-Adjusted Model    20NOV2019       -1       0.00044
HRL       Market-Adjusted Model    20NOV2019        0       0.00581
HRL       Market-Adjusted Model    20NOV2019        1      -0.00169
HRL       Market-Adjusted Model    20NOV2019        2      -0.01206
HRL       Market-Adjusted Model    20NOV2019        3       0.00138
HRL       Market-Adjusted Model    20NOV2019        4       0.03359
HRL       Market-Adjusted Model    20NOV2019        5       0.00909
HRL       Market-Adjusted Model    20NOV2019        6      -0.00366
HRL       Market-Adjusted Model    20NOV2019        7       0.02884
HRL       Market-Adjusted Model    20NOV2019        8       0.00895
HRL       Market-Adjusted Model    20NOV2019        9      -0.01244
HRL       Market-Adjusted Model    20NOV2019       10       0.00990
ATO       Market-Adjusted Model    05DEC2019      -10       0.00462
ATO       Market-Adjusted Model    05DEC2019       -9      -0.00555
ATO       Market-Adjusted Model    05DEC2019       -8      -0.00380
ATO       Market-Adjusted Model    05DEC2019       -7      -0.01448
ATO       Market-Adjusted Model    05DEC2019       -6       0.00300
ATO       Market-Adjusted Model    05DEC2019       -5      -0.00791
ATO       Market-Adjusted Model    05DEC2019       -4       0.00451
ATO       Market-Adjusted Model    05DEC2019       -3      -0.00259
ATO       Market-Adjusted Model    05DEC2019       -2       0.00379
ATO       Market-Adjusted Model    05DEC2019       -1       0.00834
ATO       Market-Adjusted Model    05DEC2019        0      -0.00352
ATO       Market-Adjusted Model    05DEC2019        1      -0.01142
ATO       Market-Adjusted Model    05DEC2019        2       0.00126
ATO       Market-Adjusted Model    05DEC2019        3       0.00487
ATO       Market-Adjusted Model    05DEC2019        4       0.00135
ATO       Market-Adjusted Model    05DEC2019        5      -0.01551
ATO       Market-Adjusted Model    05DEC2019        6       0.00530
ATO       Market-Adjusted Model    05DEC2019        7       0.00542
ATO       Market-Adjusted Model    05DEC2019        .       0.00096
ATO       Market-Adjusted Model    05DEC2019        .       0.01424
ATO       Market-Adjusted Model    05DEC2019        .       0.00162
ATO       Market-Adjusted Model    20NOV2019      -10       0.00832
ATO       Market-Adjusted Model    20NOV2019       -9      -0.00928
ATO       Market-Adjusted Model    20NOV2019       -8      -0.01111
ATO       Market-Adjusted Model    20NOV2019       -7       0.00361
ATO       Market-Adjusted Model    20NOV2019       -6      -0.00640
ATO       Market-Adjusted Model    20NOV2019       -5       0.01965
ATO       Market-Adjusted Model    20NOV2019       -4       0.00336
ATO       Market-Adjusted Model    20NOV2019       -3      -0.00819
ATO       Market-Adjusted Model    20NOV2019       -2      -0.00209
ATO       Market-Adjusted Model    20NOV2019       -1      -0.00621
ATO       Market-Adjusted Model    20NOV2019        0       0.00462
ATO       Market-Adjusted Model    20NOV2019        1      -0.00555
ATO       Market-Adjusted Model    20NOV2019        2      -0.00380
ATO       Market-Adjusted Model    20NOV2019        3      -0.01448
ATO       Market-Adjusted Model    20NOV2019        4       0.00300
ATO       Market-Adjusted Model    20NOV2019        5      -0.00791
ATO       Market-Adjusted Model    20NOV2019        6       0.00451
ATO       Market-Adjusted Model    20NOV2019        7      -0.00259
ATO       Market-Adjusted Model    20NOV2019        8       0.00379
ATO       Market-Adjusted Model    20NOV2019        9       0.00834
ATO       Market-Adjusted Model    20NOV2019       10      -0.00352
MAS       Market-Adjusted Model    05DEC2019      -10       0.00653
MAS       Market-Adjusted Model    05DEC2019       -9       0.00921
MAS       Market-Adjusted Model    05DEC2019       -8      -0.00376
