 
                                                                                                                                                                                                                                                                
 
ticker            Model              evtdate    evttime      abret
AMZN      Market-Adjusted Model            .        .        .     
CDW       Market-Adjusted Model            .        .        .     
CMG       Market-Adjusted Model            .        .        .     
AIG       Market-Adjusted Model            .        .        .     
GLW       Market-Adjusted Model            .        .        .     
PPL       Market-Adjusted Model            .        .        .     
INFO      Market-Adjusted Model            .        .        .     
EA        Market-Adjusted Model            .        .        .     
HRL       Market-Adjusted Model            .        .        .     
EMR       Market-Adjusted Model            .        .        .     
XYL       Market-Adjusted Model            .        .        .     
ARNC      Market-Adjusted Model            .        .        .     
APA       Market-Adjusted Model            .        .        .     
PKG       Market-Adjusted Model            .        .        .     
CTAS      Market-Adjusted Model            .        .        .     
PFE       Market-Adjusted Model            .        .        .     
IRM       Market-Adjusted Model            .        .        .     
ULTA      Market-Adjusted Model            .        .        .     
PSX       Market-Adjusted Model            .        .        .     
KEYS      Market-Adjusted Model            .        .        .     
PEAK      Market-Adjusted Model            .        .        .     
SLB       Market-Adjusted Model            .        .        .     
APD       Market-Adjusted Model            .        .        .     
EXPE      Market-Adjusted Model            .        .        .     
TSN       Market-Adjusted Model            .        .        .     
FCX       Market-Adjusted Model            .        .        .     
NSC       Market-Adjusted Model            .        .        .     
K         Market-Adjusted Model            .        .        .     
CXO       Market-Adjusted Model            .        .        .     
MDT       Market-Adjusted Model            .        .        .     
DD        Market-Adjusted Model            .        .        .     
KR        Market-Adjusted Model            .        .        .     
M         Market-Adjusted Model            .        .        .     
LUV       Market-Adjusted Model            .        .        .     
PKI       Market-Adjusted Model            .        .        .     
SJM       Market-Adjusted Model            .        .        .     
HUM       Market-Adjusted Model            .        .        .     
DE        Market-Adjusted Model            .        .        .     
CAG       Market-Adjusted Model            .        .        .     
ECL       Market-Adjusted Model            .        .        .     
TGT       Market-Adjusted Model            .        .        .     
NTAP      Market-Adjusted Model            .        .        .     
CSCO      Market-Adjusted Model            .        .        .     
NVR       Market-Adjusted Model            .        .        .     
MRK       Market-Adjusted Model            .        .        .     
INTU      Market-Adjusted Model            .        .        .     
FIS       Market-Adjusted Model            .        .        .     
RF        Market-Adjusted Model            .        .        .     
AOS       Market-Adjusted Model            .        .        .     
J         Market-Adjusted Model            .        .        .     
IQV       Market-Adjusted Model            .        .        .     
MSI       Market-Adjusted Model            .        .        .     
HCA       Market-Adjusted Model            .        .        .     
TXN       Market-Adjusted Model            .        .        .     
NEE       Market-Adjusted Model            .        .        .     
CF        Market-Adjusted Model            .        .        .     
FRC       Market-Adjusted Model            .        .        .     
EQIX      Market-Adjusted Model            .        .        .     
MKC       Market-Adjusted Model            .        .        .     
AMT       Market-Adjusted Model            .        .        .     
CAT       Market-Adjusted Model            .        .        .     
MO        Market-Adjusted Model            .        .        .     
CTVA      Market-Adjusted Model            .        .        .     
MU        Market-Adjusted Model            .        .        .     
SBUX      Market-Adjusted Model            .        .        .     
ALK       Market-Adjusted Model            .        .        .     
ESS       Market-Adjusted Model            .        .        .     
VLO       Market-Adjusted Model            .        .        .     
SNPS      Market-Adjusted Model            .        .        .     
KMB       Market-Adjusted Model            .        .        .     
SCHW      Market-Adjusted Model            .        .        .     
DAL       Market-Adjusted Model            .        .        .     
COF       Market-Adjusted Model            .        .        .     
NLOK      Market-Adjusted Model            .        .        .     
CMA       Market-Adjusted Model            .        .        .     
FFIV      Market-Adjusted Model            .        .        .     
PFG       Market-Adjusted Model            .        .        .     
EXC       Market-Adjusted Model            .        .        .     
PEP       Market-Adjusted Model            .        .        .     
FLS       Market-Adjusted Model            .        .        .     
FITB      Market-Adjusted Model            .        .        .     
BK        Market-Adjusted Model            .        .        .     
GIS       Market-Adjusted Model            .        .        .     
PLD       Market-Adjusted Model            .        .        .     
NTRS      Market-Adjusted Model            .        .        .     
NOC       Market-Adjusted Model            .        .        .     
IBM       Market-Adjusted Model            .        .        .     
FAST      Market-Adjusted Model            .        .        .     
AWK       Market-Adjusted Model            .        .        .     
EVRG      Market-Adjusted Model            .        .        .     
ANET      Market-Adjusted Model            .        .        .     
SIVB      Market-Adjusted Model            .        .        .     
AMD       Market-Adjusted Model            .        .        .     
